lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007823057472705841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(22, -77)",,,0.006798633374273777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021485982462763786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018147097900509834,,,,,,,,,,,,,,,,,0.006749942898750305,,,,,,,,,,,,,,,,,,,,,
"(23, -79)",,,0.03164815902709961,,,,,,,,,,,,,0.014563406817615032,,,,,,,,,,,0.03679538890719414,,,,0.015556184109300375,,0.01932423748075962,,,,,0.03714326396584511,0.023259039036929607,,,,,,,,,,,,0.03043847531080246,,,,,0.023449860513210297,,,,,,0.04568754881620407,,,,,,,,,,,,0.03251580893993378,0.011107102036476135,0.021350998431444168,0.022131122648715973,,,0.019704651087522507,,,,,,0.03502621874213219,,,,,,,,,,,,0.02525623623902599,0.01861036941409111,,,,,,,,0.0271713025867939,,,0.023378856480121613,,,,,,,,,0.03486396372318268,,0.028307987997929256,0.021867864951491355,0.005995831917971373,,,,0.018326934427022934,0.014625392854213715,,,,,0.03434927140673002,0.01798269897699356,,,,,,,,,,,0.03882837854325771,,,0.01816156879067421,,,0.02132994867861271,,,,,,0.027382589876651764,,,,,,,,,,,0.01904277876019478,0.037141747772693634,,,,,0.023356307297945023,0.031061866631110508,,,,,0.005209441762417555,0.029382494588692982,,,,,,,,,,,,,,,,,0.02426653355360031,0.02057129330933094,,,,
"(23, -78)",,,0.005174487363547087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005574008449912071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00962519645690918,,,,,,,,0.02430810034275055,,,,,,,,,,,,0.007057409733533859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006191822700202465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -77)",,,,,0.013112558983266354,0.014386333525180817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012553980574011803,0.005504678934812546,,,,,,,,,,,,,0.005957502871751785,,,,,,,,,,,0.021120037883520126,0.010711444076150656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031057514250278473,,,,,,,,,,,,0.006610173732042313,,,,,,,,,,,,,,,,,,0.02518951054662466,,,,,,,,,,,,,,,,,0.019563188776373863,,,,,,,,,,,,,0.009049265645444393,,,,,,,,
"(23, -76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01221090741455555,,,,,,,,,,,,,,,,,,,,,,0.010015738196671009,,,,,,,,0.005863478407263756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005111273378133774,,,,,,,,,,,,0.020379606634378433,,,,,,,,,,,,,,,,,,,,,,,,,0.010736384429037571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -75)",,,,,0.008661627303808928,,,,,,,,,,,,,,,,,,,,,,,,,,0.005054614972323179,,,,,,,,,0.017865559086203575,,,,,,,,,,,,,,,,,,,,,,,,,,0.008790007792413235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011102094314992428,,,,,,,,
"(23, -74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064714509062469006,,,,,,,,,,,,,,,,,,,,,,,,,0.03165920823812485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005116647109389305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010067458264529705,,,,,,,,,,,,,,,,,,,
"(23, -73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006187002640217543,,,,,,,,,,,,,,0.05171557702124119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006964832078665495,,,,,,,,,,,,0.020276498049497604,,,,,,,,,,,,,,,,,,,,,,,,0.012071892619132996,0.019448846578598022,,,,,,,,,,,,,,,,,,,,,,,0.06635092943906784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01752781867980957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025788389146327972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
