lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -78)",,,,0.03526958078145981,,,,0.03240983933210373,,,,,,,0.031729468144476414,,,0.07079672813415527,,,,,,,,,0.02529294230043888,,0.06272070109844208,0.015328561887145042,0.04387746378779411,,,,,,,,,,0.06498440355062485,,,,,,,0.03205985948443413,,,,,,,,0.03384381905198097,,,,,0.0167960524559021,,,,,,,0.05702721327543259,,,,,,,,,,,0.04904157295823097,,,,,,,,0.04053635522723198,,0.07129922695457935,,0.034993164241313934,,,,,,,,,0.06723085977137089,,,,,0.022673072293400764,,,,,0.006234573200345039,,0.045705631375312805,,,,,,,,,,,0.04873492196202278,,,,,,,,,,,0.052281033247709274,0.04694242775440216,0.06331297010183334,,,,,,,,,0.023515023291110992,,,,0.053427182137966156,,0.015512462705373764,,,,,,0.028212078846991062,,,,,,,,,,,,,,,,,,,0.06516087055206299,,,,,,,0.08442455530166626,,,,,,,,,,,,,,0.02326179575175047,0.03081393614411354,,,,,
"(22, -77)",,0.024639172479510307,0.01585163176059723,0.005893699824810028,0.028803789988160133,0.07239403575658798,,,,,0.021562683396041393,,0.04069455340504646,,,0.03858146443963051,,0.00896779727190733,0.023404579609632492,,0.0495067834854126,,,0.005030333995819092,0.020294848829507828,,0.024289630819112062,0.019284436479210854,0.011654762684234552,0.021350190043449402,0.04726306349039078,0.02287772111594677,,,,,0.05961756408214569,,0.03747526463121176,0.032703522592782974,0.03352951817214489,,0.015301456674933434,,,0.0054159220308065414,,0.007078133523464203,0.023177597671747208,,,0.007354846379409234,0.019244879794617493,0.042262175430854164,0.02207084931433201,,,0.010767720794926086,0.022325364872813225,,0.02773694507777691,,,,0.09910181909799576,,0.006552945822477341,,,,0.0338774174451828,,,0.02082975208759308,0.08204224705696106,0.025595417805016042,0.05650528147816658,,0.025499727576971054,,0.022894972935318947,,,,,,,0.03184920065104961,0.03478265320882201,,0.0326710669323802,,,,,0.021838292479515076,,0.038695214316248894,0.019579080864787102,0.02174983755685389,,,,,,0.009362383279949427,,0.011985467746853828,0.022290468215942383,0.0432758703827858,0.005806002765893936,0.024669790640473366,0.051745290557543434,0.008098402060568333,,0.055835917592048645,,,,,0.028260085731744766,,0.020506691187620163,0.03378055803477764,,0.02182440645992756,,,0.04180476604960859,,,,0.007682823110371828,,0.01682386500760913,,,0.005903501063585281,,0.023850053548812866,0.05422110855579376,0.0056046172976493835,,0.023509282618761063,,0.014594856649637222,0.032239504624158144,0.03244041775663694,0.052012622356414795,,,,,,,,0.022518370300531387,,0.02405483927577734,0.007762760855257511,0.027823608368635178,0.020543048158288002,0.04663055017590523,0.01191882137209177,0.005200250074267387,0.009121549315750599,,0.038614965975284576,,,0.04385374039411545,,0.009934553876519203,0.06575878709554672,,,0.012720831204205751,0.008898446336388588,0.010917175561189651,0.009403783828020096,0.03720024973154068,0.007965493947267532,0.06658834094802539,,0.020455941557884216,,0.02463259920477867,0.020999795757234097,,,,,,0.02013899323840936,0.013265527784824371,0.039631797932088375,0.014966326765716076,0.038652077317237854,0.03296809270977974,0.013134369626641273,,0.03187316656112671,0.029019812121987343
"(22, -76)",,0.005573170259594917,0.006450403481721878,0.006496245041489601,0.0102524240501225,0.006077933435638745,,0.015579700469970703,,,,0.005241665989160538,0.013498645275831223,,,,,,,,0.005733178928494453,,,,,,0.007173615507781506,,0.006878107786178589,,0.04168107733130455,,,,,,,,,0.012458511162549257,0.010769997723400593,0.0063353292644023895,0.005283374339342117,,,0.005496891215443611,,,0.010058902204036713,0.006848021099964778,0.013150081038475037,0.006252160606284936,0.006848512217402458,0.009038614109158516,0.006796576082706451,,,,,,,,,,0.005975077860057354,,,,,,,,,0.02357860654592514,0.01689828746020794,0.011836246121674776,0.00567067414522171,,,,,,0.005359821021556854,,,,,0.012435758719220757,0.006306260824203491,,,0.017005831003189087,,0.006567215546965599,0.00502929650247097,0.008580826222896576,,,0.0190998837351799,0.00991893745958805,0.008618256077170372,,,,,,0.00590637419372797,,,0.007224535569548607,0.008356912061572075,0.01691766083240509,0.008573172613978386,,0.006872002966701984,,,,,0.00835200771689415,0.006445087492465973,,,,0.00844680517911911,,,,,,,0.00922670898338159,0.008273029699921608,0.010884202551096678,,,0.00867520272731781,,,,,,,,,0.008813018600145975,0.01084994524717331,,,,,,,,,,,,0.011180131696164608,0.009039333090186119,,,,0.005038728937506676,,0.009970506653189659,,0.010314304381608963,0.013385191559791565,0.011691451305523515,0.005365855060517788,0.011182117275893688,0.007941623218357563,0.021995902061462402,,,0.0066949762403965,,,,,0.006662637693807483,0.006743628066033125,0.014663834124803543,,,0.008880164474248886,,,,,,0.010024862363934517,0.017101514774064224,0.008299932815134525,,,,,,,,
"(22, -75)",,0.005867030005902052,,0.006292849313467741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005864087492227554,,,,0.005283824633806944,,,,,,,,,,,0.008500297740101814,0.015242195688188076,,,0.006617017090320587,,,,,,,,0.00880859075114131,,,0.010678179562091827,0.0070341893782218294,,,,,,,0.007996889762580395,0.010790309868752956,,,,,,,,,,,,0.006369277602061629,0.006780566647648811,,,,,,,0.006098389625549316,,,0.011833328753709793,,,,,,,,,,,0.005616094917058945,,,,,,,,,,,,,0.007414668332785368,0.011664343299344182,0.010844990611076355,,,,,,,,,,0.006800379138439894,,,0.006686637178063393,,,,,,,,,0.009659649571403861,0.011236943071708083,,,,,,,,,,,0.009386090561747551,0.014557726681232452,,,,,,,,,,,0.01226348988711834,0.0075724683701992035,,0.012086769565939903,,,,,,,,,0.007136608939617872,0.008951639523729682,0.006282316520810127,,,,,,,,,0.006383303087204695,,0.007558878511190414,,0.008037019520998001,0.0064434632658958435,,,,,,,0.008374828845262527
"(23, -79)",,0.008779910393059254,,,,0.04947780817747116,,,0.011284153908491135,,0.040907688438892365,0.03873138315975666,0.00521476985886693,0.0051775844767689705,0.09063263237476349,,0.06919913738965988,,,,,,,0.03335074509959668,0.009309687651693821,0.030583566054701805,0.05344985285773873,0.021276406943798065,0.033965131267905235,0.040405205761392914,,,,0.030042575672268867,0.051232690612475075,0.05398721992969513,,0.006024443544447422,,0.014745248481631279,,,,,,0.024537738412618637,0.04325927421450615,0.03532984876073897,,0.1045735776424408,0.009140580892562866,,0.013600389007478952,,,,0.006418273318558931,,0.05940498411655426,0.006058156955987215,,0.06556224077939987,,,0.03374602738767862,,,,,,0.055533625185489655,,0.01134468149393797,0.07812612690031528,,0.05086982871095339,0.012737836688756943,,,,,0.017277251929044724,0.04295463440939784,,,,0.009436254389584064,0.03784589857483903,0.03636851124465466,0.05644584819674492,,,,0.0663402583450079,0.043875716626644135,,0.02318127080798149,0.057210365775972605,0.017858587205410004,0.03063835094993313,,,,,,0.05028012301772833,0.06351129338145256,,0.05941102001816034,0.014619588851928711,,,0.029462382197380066,0.011037372052669525,0.062368303537368774,,,0.035537400655448435,0.006950941402465105,,0.008523204363882542,,0.008717654505744576,,,,,0.009715836495161057,0.07106354553252459,0.05711322011692183,,0.005240411497652531,0.026039425749331713,,0.017988632277896006,0.05636059166863561,0.0754912868142128,,,,0.020040251314640045,0.04154394846409559,0.012472184374928474,0.025304259732365608,,,0.052920956164598465,0.06598151288926601,,,,,0.053623516112565994,0.0569925494492054,0.008269482292234898,,,0.01405123807489872,,0.06660229712724686,0.13076364994049072,,,0.044259220361709595,0.05575851947069168,0.03897498082369566,,0.02640445933987697,0.0917208343744278,0.016074199229478836,0.050082732923328876,0.034027846330510716,,0.034319691359996796,,0.009882668033242226,0.007622478995472193,0.07646985352039337,0.023269040510058403,0.007133684121072292,0.01729399524629116,,,,,,,0.013652983121573925,0.0304881501942873,0.017248763237148523,,0.008908101357519627,,0.07319726794958115,0.06788364704698324,,,,,0.014919829554855824,0.05929972045123577,0.006887529511004686,
"(23, -78)",0.031133901327848434,0.012794822454452515,0.00835603685118258,0.012137111742049456,0.015701830573379993,0.01784956152550876,0.019942665783067543,0.02529531205072999,,0.020991142839193344,0.01134536787867546,,0.04062454029917717,0.017467948142439127,0.011638649739325047,0.00903861029073596,,0.014878072601277381,0.022903889417648315,0.007871358655393124,0.01007428423811992,,0.020855609327554703,0.006900929845869541,0.006159357726573944,0.03746072854846716,0.008599711582064629,0.03279590397141874,0.02224685637546437,0.012763073047002157,0.01562851294875145,0.010649952106177807,0.013670634478330612,0.010699821636080742,,0.02995065413415432,0.02002373763493129,0.033439455553889275,0.012353971068348204,0.011930702182535943,0.023961638721326988,0.013853857293725014,0.017978600692003965,0.007236461155116558,0.006180371157824993,0.03909831680357456,,0.016258704476058483,0.008062750101089478,0.008254478685557842,0.01526709966128692,0.011472825333476067,0.01828610540057222,0.012127571739256382,0.03491960000246763,0.006937405094504356,0.021535703757156927,0.04593062400817871,0.03887145717938741,0.01850573532283306,0.018550836481153965,0.006661516148597002,0.009177164278096624,0.01247492137675484,0.010015865787863731,0.015549032017588615,0.014815716538578272,0.08098969608545303,,0.04164273291826248,0.017983485013246536,0.0087614506483078,0.008677199250087142,0.013757836073637009,0.012935645699214477,0.016725774699201185,0.016954499389976264,0.028964097301165264,0.011671135202050209,0.011636548365155855,0.02174784429371357,,0.025140762329101562,0.011758060660213232,0.025016969069838524,0.022287500889173577,0.01301353401504457,0.011436006778644191,0.0160802339669317,0.01310000813100487,0.04830200597643852,,0.05159374698996544,0.050765328109264374,0.03702685795724392,0.03317035362124443,0.009272059891372919,0.02789008943364024,0.009375957539305091,0.017629841187347967,0.01868458967655897,0.022355289198458195,0.014688163995742798,0.010900421068072319,0.022469939664006233,0.029152072966098785,,0.02114988925556342,0.018292644526809454,0.011061812983825803,0.018852173467166722,0.02084251883206889,0.02086025569587946,0.016524693928658962,0.01691233552992344,0.00978189054876566,,,,0.0111772695556283,0.007617548108100891,0.025120787012080353,0.034116826951503754,0.014865978620946407,0.011267375573515892,0.011170297861099243,,0.011062668170779943,,,0.016687164083123207,0.01283737551420927,0.020696806255728006,0.010598945098796062,0.024918385222554205,0.022561548044905066,0.025532031804323195,0.010089044459164143,,0.025844469666481018,,0.04909483715891838,0.03021499840542674,0.011248424804459015,0.011259008664637804,0.01847889111377299,0.02080037398263812,0.016329658289368335,0.01434031082317233,,,,0.031519465148448944,,0.005346931517124176,0.017811431549489498,0.007266567088663578,0.02225973119493574,0.019384250976145267,0.02073642487327258,0.014701362832316331,,0.00949714332818985,,,,,0.009948089718818665,0.023940160870552063,0.014112492769279263,0.01442906175824729,0.013425841648131608,0.024427157826721668,0.017437918693758547,,0.04129783250391483,,0.006736673414707184,,0.028826799243688583,0.012260322200341357,0.012522677332162857,0.012902093294542283,0.01965077981973688,0.011618699063546956,0.011694149114191532,0.016501741018146276,,,,,0.006867822539061308,0.01866595819592476,0.019578977674245834,0.016823137967059247,0.023055095924064517,0.01465612556785345,,0.0394916869699955,,,0.006753906607627869,
"(23, -77)",,,0.020039758644998074,0.012380906380712986,0.05790163204073906,0.013906069472432137,0.008230774973829588,,,0.01656251074746251,,0.01468700636178255,,0.013626186177134514,0.012304142117500305,0.02700720215216279,0.010793054476380348,0.05791187100112438,0.007161058485507965,0.01622719131410122,0.04642026126384735,,,,,0.019965006969869137,0.014417150639928877,0.022872228796283405,0.04797341302037239,0.06931886573632558,0.01607172715011984,,0.04027909661332766,0.03395952843129635,,0.012889434583485126,,,,,0.03745499004920324,,0.00719404686242342,0.019855604817469914,,0.01565610710531473,0.01793021832903226,0.010898184031248093,,0.010424468666315079,0.010277174413204193,0.009273257106542587,0.05235230177640915,0.017470000311732292,0.01502084918320179,0.03191846236586571,,,0.02315240167081356,0.007781534921377897,,0.013301430735737085,0.009856563527137041,0.07074779272079468,0.011746758595108986,0.015154958702623844,0.014517011120915413,0.06114939600229263,0.06287244707345963,0.03869358263909817,0.025348999351263047,,0.04395041614770889,0.022078506648540497,,0.06280386447906494,0.06495405733585358,,0.024644335731863976,0.009242399285236994,,,0.0101965363137424,0.010827177204191685,0.013158353511244059,,0.011291190593813857,,0.052879840756456055,,0.02409525029361248,0.010270615108311176,0.007220168132334948,0.06412714719772339,,0.016934720799326897,0.01904453570023179,0.04996151849627495,0.012587188743054867,,0.07813044637441635,0.014055915176868439,0.012635020539164543,,,0.01478621456772089,,0.02434673998504877,,0.0051490310579538345,0.008099762722849846,0.006484797224402428,,0.025674249045550823,0.028967127203941345,,,,0.009737936158974966,0.019262180477380753,0.008636480197310448,,0.00788758194539696,0.04195871949195862,0.0533226914703846,0.009223432745784521,0.005132874473929405,0.022208046168088913,0.07550960406661034,0.019601736838618915,0.013229831121861935,,0.005019382108002901,,0.05711229098960757,0.030672218495359022,0.006817103674014409,0.016048241406679153,,,0.018567707389593124,0.013980120420455933,,0.02798827737569809,0.006764757446944714,0.007908828556537628,0.03770693950355053,0.01962512933338682,0.008542277850210667,0.009485350921750069,,0.044098963029682636,0.015492349863052368,0.02071256097406149,0.03512325044721365,0.01393833216279745,0.01000879363467296,0.06081144139170647,0.009387032128870487,0.016379829961806536,0.019407680879036587,0.005974734202027321,0.06804443647464116,,,,0.04287690669298172,0.05291886255145073,0.05063682794570923,0.007582971205314,0.011603954248130322,0.03712822496891022,0.041297199204564095,0.03580515335003535,0.059519022703170776,,0.026541062941153843,0.009645940425495306,0.019396876683458686,0.007202552941938241,0.017018748447299004,0.08602840453386307,0.050220376811921597,0.005376196466386318,0.01611221395432949,0.02304154187440872,,,0.013082124292850494,,0.007594052702188492,0.005712537094950676,0.026067369151860476,,0.07055623084306717,0.0067936989944428205,0.009007858112454414,,0.01958232931792736,,0.023318657651543617,0.0128775080665946,
"(23, -76)",,0.0311473049223423,0.017866126261651516,0.013303898274898529,0.017042169347405434,0.015732250176370144,0.028210977092385292,0.024919353425502777,0.017148420214653015,0.008830692619085312,0.009815645404160023,,0.009232011623680592,0.008693937212228775,,0.03387768194079399,0.013437455520033836,,0.013951573520898819,0.07058405876159668,,,,,0.008387047797441483,0.014786047860980034,0.03927624970674515,0.02373376563191414,0.012369367759674788,0.06821630895137787,,,0.011818494647741318,,,0.03325558453798294,,0.009480472654104233,0.005109600722789764,0.00598469958640635,0.010429600952193141,0.006675228010863066,,0.0246941689401865,,0.01546856015920639,0.020228277891874313,0.015878504142165184,0.01588982716202736,0.0068654343485832214,,,,0.046554941684007645,0.02210397149125735,,,,,0.020695389558871586,0.01903539150953293,0.025435078889131546,0.00839080661535263,0.05950257989267508,0.01533535961061716,0.027473528869450092,0.05597776174545288,,0.05044423664609591,,0.01114320382475853,0.006276636850088835,0.014561749994754791,0.008402153849601746,0.012923374927292267,0.011556759476661682,0.008764511672779918,,0.015869239717721938,0.019076857715845108,,,,0.007300844416022301,,,0.010161825455725193,0.031362430192530155,0.01042262278497219,0.007661918178200722,0.012841220945119858,0.005135776475071907,,,,,0.006285743787884712,,0.025405969470739365,0.00986824898670117,,0.00592036172747612,,0.008761033415794373,,,0.010346014983952045,,,,,0.012221834223185266,0.030646936502307653,,,0.010712504386901855,0.014849763363599777,,0.005394410341978073,0.017065681517124176,0.026300601661205292,0.025784416124224663,,0.03448777770002683,0.005710212513804436,0.009741267189383507,0.007799107581377029,0.02995920181274414,,0.013608533889055252,0.0055798254907131195,0.012711390852928162,,0.012806694954633713,0.010015749062101046,0.00780813186429441,0.020064597949385643,0.005744867026805878,0.0069166915491223335,0.009493568912148476,,0.0059255026280879974,0.01220403127372265,0.01675894483923912,,0.007792217656970024,0.010376337117382459,0.023689081038658816,,0.035537559539079666,0.05179585888981819,,,0.019107751548290253,0.014446314424276352,,,,0.011815497651696205,0.01758501660078764,0.01859225705265999,,,0.005621928721666336,,,,0.030480675399303436,0.008581466041505337,0.01224004632482926,0.012135801371186972,0.007904259487986565,0.025876574218273163,,0.05889247730374336,0.056455448269844055,0.047256337478756905,0.03790803626179695,0.035693125799298286,,0.012658337131142616,,0.013791118282824755,0.005090564489364624,0.007006645202636719,,0.008779564872384071,,0.006115795113146305,0.006710099056363106,0.008585967123508453,,,0.015386501792818308,0.007744659070989915,0.006212935006866853,,,,,0.04114367812871933,,
"(23, -75)",,0.01023282048602899,0.010180730372667313,,,0.011913306266069412,,,0.007025042548775673,0.04097394645214081,,,0.007350319996476173,0.006837521679699421,0.02692052721977234,0.007454909384250641,0.01619015634059906,0.017715539783239365,,,0.031139636412262917,0.005144625436514616,,,0.017617043759673833,0.013272325415164233,,,0.009564287960529327,0.007911857838431994,0.0062267715111374855,0.016887526959180832,0.04819184332154691,0.01174425333738327,,0.01128470804542303,0.011513066788514456,0.014164541382342577,0.009250915221249064,,0.010921283314625422,0.005741946088771026,,,0.026937616989016533,0.03508365526795387,0.007823316380381584,0.015796759476264317,0.009136128053069115,0.012841225069548403,0.010878952220082283,,0.014618261406819025,0.03177480151255926,0.015922367572784424,,0.008670251816511154,,,0.0066873615141958,0.008467442821711302,0.024405840784311295,0.009351059794425964,,0.011518384329974651,0.009321458637714386,,,0.01943574659526348,,,0.009309726115316153,0.015838585328310728,0.021197788417339325,0.010772251756861806,0.0071080399211496115,0.024282046407461167,,,,,0.024904930964112282,,0.01000566381428923,0.009441780857741833,0.015647290274500847,0.009268639609217644,0.023192698135972023,0.021592937409877777,,,0.006010986864566803,0.010464716702699661,,,0.01051488301406304,0.016567200422286987,0.015578126162290573,,0.015309241910775503,0.014121852815151215,,,0.00928841158747673,,,,0.0069665159098804,0.0073660498795409994,0.006340325810015202,,0.017306804656982422,,,,0.03448665887117386,,0.010928606614470482,0.009074559435248375,0.011458016000688076,0.008846308880796036,0.008689015482862791,0.009101500734686852,0.011386290192604065,0.012392301112413406,,,0.008966974797658622,,,0.007766413191954295,0.008435628687342009,0.009442110545933247,0.01930162949221475,,0.006739437347277999,,,0.010614030063152313,0.007369279395788908,,,0.021177684830036014,0.012435023905709386,0.009327668696641922,0.015525587648153306,0.015083925798535347,0.015088684856891632,,,,0.005360748153179884,,,0.007339148161311944,0.00565512478351593,0.02460300922393799,,0.013837355189025402,0.02879723720252514,,,,0.010170292109251022,,0.03994758427143097,0.023661116079892963,0.009084895951673388,0.01643040031194687,,0.0077851203580697375,,,0.01769181340932846,,,,,0.010640019457787276,0.0058408938348293304,0.012898282147943974,0.013541382737457752,0.025516910012811422,0.019761959090828896,,,0.00969174678903073,,,0.008268520701676607,0.008961395709775388,0.007980213966220617,0.014659947250038385,0.01588563434779644,0.01967963483184576,0.00590727012604475,,,0.006614153428624074,,,0.011430389434099197,0.02085732389241457
"(23, -74)",,0.008074797689914703,0.005712531041353941,,,0.006500915624201298,0.005882442928850651,,,0.005143970251083374,,0.012739695608615875,0.015901189297437668,,,,,0.00746019184589386,0.006689863279461861,0.011334426933899522,0.009353108704090118,,,,0.0062894560396671295,0.011111926287412643,0.027823247015476227,,,0.008430187590420246,0.0076884133741259575,,0.015794316306710243,,,0.012646976858377457,,,0.012424900817374388,,,0.010459467768669128,0.013381317257881165,0.014538886491209269,,,,,,0.013734366744756699,0.02347632870078087,,0.019166884943842888,,,,0.009156845510005951,,,,,,,,0.029353339225053787,,,,,,,,,0.01366405189037323,,,,,,0.011838900546232859,,,,,0.0067679095081985,0.013114158064126968,,,,,,,,,,,,,0.007117897272109985,0.0056088571436703205,0.018905304605141282,0.018008969025686383,0.005373843479901552,,,,,,,0.007786634843796492,,,0.006576779298484325,,,0.005140239605680108,,,0.025046972557902336,,,,,,,0.007049497216939926,,,,,,,0.012788709253072739,,,,,0.04219399392604828,0.007082316558808088,,,,,,,,,,,,,,,,,,,,0.005009927786886692,,,,,,,0.0054271589033305645,,,,,0.010737113654613495,0.016436665784567595,0.008170808665454388,,0.0072763715870678425,,,,,,0.01017799787223339,0.0087205171585083,0.010036928579211235,,,0.006139982026070356,,,,,,0.010632757097482681,0.011099649360403419,,0.016458147205412388,0.010553277097642422,0.010963574051856995,0.014697615057229996,,,,,0.027120590209960938
