lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08910000324249268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(22, -77)",,,-0.01209999993443489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03519999980926514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023099999874830246,,,,,,,,,,,,,,,,,0.002199999988079071,,,,,,,,,,,,,,,,,,,,,
"(23, -79)",,,0.15399999916553497,,,,,,,,,,,,,0.10779999941587448,,,,,,,,,,,0.14217499643564224,,,,0.10450000315904617,,0.09570000320672989,,,,,0.14740000665187836,0.12457500211894512,,,,,,,,,,,,0.13200000301003456,,,,,0.09625000134110451,,,,,,0.164450004696846,,,,,,,,,,,,0.12787499837577343,0.0869000032544136,0.07259999960660934,0.07590000331401825,,,0.09625000134110451,,,,,,0.12815000489354134,,,,,,,,,,,,0.13053333510955176,0.10450000315904617,,,,,,,,0.10450000315904617,,,0.12595000118017197,,,,,,,,,0.10450000315904617,,0.14630000293254852,0.12320000380277633,0.09459999948740005,,,,0.09569999948143959,0.09679999947547913,,,,,0.13493333260218301,0.10999999940395355,,,,,,,,,,,0.13475000113248825,,,0.08910000324249268,,,0.11770000122487545,,,,,,0.14299999922513962,,,,,,,,,,,0.14190000295639038,0.13172500021755695,,,,,0.10779999941587448,0.10816666980584462,,,,,0.1177000030875206,0.12026666849851608,,,,,,,,,,,,,,,,,0.10413333276907603,0.09845000132918358,,,,
"(23, -78)",,,0.08579999953508377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005499999970197678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0340999998152256,,,,,,,,0.08139999955892563,,,,,,,,,,,,0.03739999979734421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00989999994635582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -77)",,,,,0.0010999999940395355,0.0340999998152256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01209999993443489,0.01209999993443489,,,,,,,,,,,,,-0.002199999988079071,,,,,,,,,,,0.004399999976158142,-0.00494999997317791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03629999980330467,,,,,,,,,,,,0.014299999922513962,,,,,,,,,,,,,,,,,,0.01209999993443489,,,,,,,,,,,,,,,,,0.015399999916553497,,,,,,,,,,,,,0.016499999910593033,,,,,,,,
"(23, -76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.992806499463768e-15,,,,,,,,,,,,,,,,,,,,,,0.0010999999940395355,,,,,,,,-0.005499999970197678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032999999821186066,,,,,,,,,,,,0.0340999998152256,,,,,,,,,,,,,,,,,,,,,,,,,0.013199999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -75)",,,,,-0.013199999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,0.005499999970197678,,,,,,,,,0.005499999970197678,,,,,,,,,,,,,,,,,,,,,,,,,,0.006599999964237213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002749999985098839,,,,,,,,
"(23, -74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004399999976158142,,,,,,,,,,,,,,,,,,,,,,,,,0.12099999934434891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010999999940395355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025299999862909317,,,,,,,,,,,,,,,,,,,
"(23, -73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010999999940395355,,,,,,,,,,,,,,0.10669999942183495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08250000327825546,,,,,,,,,,,,0.07370000332593918,,,,,,,,,,,,,,,,,,,,,,,,0.06159999966621399,0.054999999701976776,,,,,,,,,,,,,,,,,,,,,,,0.1396999955177307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09350000321865082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1331000030040741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
