lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -78)",,,,-0.027499999850988388,,,,-0.03959999978542328,,,,,,,-0.009349999949336052,,,-0.06930000334978104,,,,,,,,,-0.002749999985098839,,-0.052799999713897705,-0.026399999856948853,-0.03849999979138374,,,,,,,,,,-0.060499999672174454,,,,,,,-0.01979999989271164,,,,,,,,-0.06599999964237213,,,,,-0.01759999990463257,,,,,,,-0.05389999970793724,,,,,,,,,,,-0.05169999971985817,,,,,,,,-0.025299999862909317,,-0.06875000149011612,,-0.027499999850988388,,,,,,,,,-0.06545000150799751,,,,,-0.02199999988079071,,,,,0.0032999999821186066,,-0.052799999713897705,,,,,,,,,,,-0.027499999850988388,,,,,,,,,,,-0.04729999974370003,-0.05609999969601631,-0.05939999967813492,,,,,,,,,-0.010999999940395355,,,,-0.03849999979138374,,-0.03739999979734421,,,,,,-0.025299999862909317,,,,,,,,,,,,,,,,,,,-0.05389999970793724,,,,,,,-0.09790000319480896,,,,,,,,,,,,,,-0.020899999886751175,-0.028599999845027924,,,,,
"(22, -77)",,-0.018699999898672104,-0.02969999983906746,-0.025299999862909317,-0.02016666779915492,-0.06270000338554382,,,,,-0.01759999990463257,,-0.06930000334978104,,,-0.024566666533549626,,0.00989999994635582,-0.04399999976158142,,-0.0869000032544136,,,0.020899999886751175,-0.05389999970793724,,0.04125000163912773,0.010999999940395355,0.0017285714192049845,-0.028049999848008156,-0.04619999974966049,-0.03904999978840351,,,,,-0.0681999996304512,,-0.016499999910593033,-0.04179999977350235,-0.03614285747919894,,-0.04179999977350235,,,-0.026399999856948853,,-0.01209999993443489,-0.04894999973475933,,,-0.0032999999821186066,-0.022366667166352272,-0.05133333305517832,-0.023099999874830246,,,-0.012466666599114736,-0.01209999993443489,,-0.05719999969005585,,,,-0.10010000318288803,,-0.01759999990463257,,,,-0.04179999977350235,,,-0.030799999833106995,-0.08250000327825546,-0.025960000604391097,-0.0681999996304512,,-0.040699999779462814,,-0.02199999988079071,,,,,,,-0.028379999846221592,-0.03134999983012676,,-0.03189999982714653,,,,,-0.042899999767541885,,-0.03189999982714653,-0.025299999862909317,-0.02474999986588955,,,,,,-0.009349999949336052,,-0.018699999898672104,-0.07039999961853027,-0.0494999997317791,0.016499999910593033,0.0,-0.04913333306709925,-0.010999999940395355,,-0.09679999947547913,,,,,-0.05389999970793724,,-0.02969999983906746,-0.02474999986588955,,-0.03904999978840351,,,-0.045099999755573106,,,,0.07259999960660934,,-0.022274999879300594,,,-0.023099999874830246,,-0.045099999755620956,-0.06710000336170197,-0.03629999980330467,,-0.06269999966025352,,0.025299999862909317,-0.03080000076442957,-0.013933333257834116,-0.07590000331401825,,,,,,,,0.042899999767541885,,-0.018975000828504562,-0.004399999976158142,-0.03739999979734421,-0.023099999874830246,-0.0649000033736229,-0.013199999928474426,-0.016499999910593033,0.021449999883770943,,-0.054999999701976776,,,-0.040919999778270724,,-0.02199999988079071,-0.07039999961853027,,,0.013749999925494194,0.005499999970197678,-0.01979999989271164,0.030799999833106995,-0.016499999910593033,-0.02419999986886978,-0.07223333418369293,,-0.04234999977052212,,-0.05719999969005585,-0.03629999980330467,,,,,,-0.026766666521628697,-0.0032999999821186066,-0.03684999980032444,-0.025299999862909317,-0.03849999979138374,-0.052799999713897705,-0.02199999988079071,,-0.06599999964237213,-0.04894999973475933
"(22, -76)",,-0.015399999916553497,-0.03959999978542328,-0.018699999898672104,-0.01759999990463257,-0.01979999989271164,,-0.04179999977350235,,,,-0.030799999833106995,-0.0340999998152256,,,,,,,,-0.02199999988079071,,,,,,-0.010999999940395355,,-0.023099999874830246,,-0.06379999965429306,,,,,,,,,-0.012649999931454659,-0.00989999994635582,-0.045099999755620956,-0.026399999856948853,,,-0.023099999874830246,,,-0.0340999998152256,-0.039966666450103126,-0.022549999877810478,-0.01613333324591319,-0.030799999833106995,-0.0434500016272068,-0.03263333315650622,,,,,,,,,,-0.007699999958276749,,,,,,,,,-0.055000001564621925,-0.021339999884366988,-0.015399999916553497,-0.02914999984204769,,,,,,-0.03959999978542328,,,,,-0.005499999970199648,-0.015399999916553497,,,-0.0340999998152256,,-0.018699999898672104,-0.028599999845027924,-0.03519999980926514,,,-0.007699999958276749,-0.020349999889731407,-0.016499999910593033,,,,,,-0.03464999981224537,,,-0.01759999990463257,-0.016499999910593033,-0.03189999982714653,-0.026399999856948853,,-0.01209999993443489,,,,,-0.03739999979734421,-0.04014999978244305,,,,-0.032999999821186066,,,,,,,-0.025299999862909317,-0.01209999993443489,-0.02117499988526106,,,-0.02419999986886978,,,,,,,,,-0.018699999898672104,-0.018479999899864197,,,,,,,,,,,,-0.02199999988079071,-0.04729999974370003,,,,-0.014299999922513962,,-0.04344999976456165,,-0.03959999978542328,-0.01759999990463257,-0.009349999949336052,-0.004399999976158142,-0.018699999898672104,-0.025299999862909317,-0.032999999821186066,,,-0.042899999767541885,,,,,-0.013199999928474426,-0.015949999913573265,-0.03134999983012676,,,-0.04729999974370003,,,,,,-0.01924999989569187,-0.014299999922513962,-0.008799999952316284,,,,,,,,
"(22, -75)",,-0.07699999958276749,,-0.06270000338554382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03959999978542328,,,,-0.07369999960064888,,,,,,,,,,,-0.0781000018119812,-0.11990000307559967,,,-0.03629999980330467,,,,,,,,-0.050599999725818634,,,-0.03519999980926514,-0.033733333150545754,,,,,,,-0.09350000321865082,-0.06325000058859587,,,,,,,,,,,,-0.054999999701976776,-0.04124999977648258,,,,,,,-0.03629999980330467,,,-0.07370000332593918,,,,,,,,,,,-0.045099999755620956,,,,,,,,,,,,,-0.07039999961853027,-0.051700000340739884,-0.05829999968409538,,,,,,,,,,-0.06930000334978104,,,-0.025299999862909317,,,,,,,,,-0.07259999960660934,-0.06462500058114529,,,,,,,,,,,-0.07369999960064888,-0.0649000033736229,,,,,,,,,,,-0.050599999725818634,-0.0494999997317791,,-0.03134999983012676,,,,,,,,,-0.08140000328421593,-0.06600000336766243,-0.01759999990463257,,,,,,,,,-0.09679999947547913,,-0.04454999975860119,,-0.045099999755620956,-0.04179999977350235,,,,,,,-0.06765000149607658
"(23, -79)",,0.17489999532699585,,,,-0.03189999982714653,,,0.05389999970793724,,-0.026399999856948853,0.0030249999836087227,0.12430000305175781,0.1859000027179718,-0.01209999993443489,,-0.027499999850988388,,,,,,,-0.002199999988079071,0.11879999935626984,0.014299999922513962,0.030800001695752144,0.07590000331401825,0.0434500016272068,-0.013566666593154272,,,,-0.01209999993443489,-0.04436666642626127,-0.01283333326379458,,0.15620000660419464,,0.05609999969601631,,,,,,0.0010999999940395355,-0.047666666408379875,0.037950001657009125,,-0.0340999998152256,0.07259999960660934,,0.02694999985396862,,,,0.07699999958276749,,-0.04785000067204237,0.11550000309944153,,-9.2148511043888e-15,,,-0.01484999991953373,,,,,,-0.020899999886751175,,0.015399999916553497,-0.015399999916553497,,-0.010999999940395355,0.014299999922513962,,,,,-0.011549999937415123,-0.006874999962747097,,,,0.09679999947547913,0.034833334386348724,-0.010340000689029693,-0.027499999850988388,,,,-0.0511499997228384,-0.011549999937415123,,0.014299999922513962,0.020350001752376556,0.07699999958276749,0.046200002233187355,,,,,,-0.04757499974220991,-0.03739999979734421,,-0.008249999955296516,0.05609999969601631,,,0.012649999931454659,0.07150000333786011,-0.03519999980926514,,,-0.02661999985575676,0.12319999933242798,,0.17489999532699585,,0.060499999672174454,,,,,0.00989999994635582,-0.06599999964237213,-0.034885715161051066,,0.18039999902248383,0.07039999775588512,,0.03116666649778684,-0.029974999837577343,-0.060499999672174454,,,,-0.006049999967217445,0.0007333333293596903,0.005499999970197678,0.006599999964237213,,,-0.02419999986886978,-0.009349999949336052,,,,,-0.04454999975860119,-0.022549999877810478,0.11110000312328339,,,0.06270000152289867,,-0.03959999978542328,-0.0649000033736229,,,-0.04839999973773956,-0.05456000044941902,-0.027133333186308544,,0.05609999969601631,-0.015399999916553497,0.04619999974966049,-0.020349999889731407,0.008642857096024923,,0.010999999940395355,,0.030799999833106995,0.006599999964237213,-8.215650382226158e-15,0.01209999993443489,0.17270000278949738,0.0742500014603138,,,,,,,0.008799999952316284,0.0005499999970197678,0.08909999765455723,,0.09350000321865082,,-0.0681999996304512,-0.05610000044107588,,,,,0.008799999952316284,-0.015399999916553497,0.12319999933242798,
"(23, -78)",-8.659739592076221e-15,0.002199999988079071,0.040699999779462814,0.016499999910593033,-0.01297999992966652,-0.018974999897181988,-0.0058666666348775225,-0.016499999910593033,,-0.01759999990463257,-0.03629999980330467,,-0.03739999979734421,-0.00027499999851202106,0.011733333269755045,0.01825999990105629,,-0.018974999897181988,-0.07039999961853027,-0.008799999952316284,-0.008066666622956594,,-0.030799999833106995,0.005499999970197678,0.03739999979734421,0.0038499999791383743,0.02823333318034808,-0.02199999988079071,-0.013042857604367393,-0.00989999994635582,-0.028599999845027924,-0.00989999994635582,-0.02969999983906746,0.014299999922513962,,-0.014299999922513962,-0.007071428533112505,-0.01924999989569187,0.004399999976158142,-0.01023846148298337,-0.017233333239952724,-0.03897142836025783,0.0005499999970197678,-0.006599999964237213,-0.008799999952316284,-0.03519999980926514,,-0.00494999997317791,-0.006599999964237213,0.002749999985098839,-0.015262499917298555,-0.006379999965429306,-0.01925000020613273,-0.005499999970200749,-0.00916666661699613,-0.0010999999940395355,-0.016499999910593033,-0.06930000334978104,-0.033733333150545754,0.011366666605075201,-0.006599999964237213,0.05609999969601631,0.004277777754598194,-0.00641666663189729,-0.005133333305517833,-0.026766666521628697,0.003299999982170565,-0.06379999965429306,,-0.026399999856948853,-0.04729999974370003,0.02419999986886978,0.005499999970197678,0.04399999976158142,-0.01116923070870913,-0.006874999962747819,-0.011109999939800119,-0.02126666655143102,-0.0005499999970197678,-0.01283333326379458,-0.018699999898672104,,-0.016499999910593033,-0.012649999931454659,-0.01209999993443489,0.010214285658938544,0.004537499975413084,-0.014422222144073911,-0.0016499999910593033,-0.013062499929219484,-0.04729999974370003,,-0.042899999767541885,-0.03959999978542328,-0.02603333319226901,-0.05169999971985817,0.02474999986588955,0.0019249999895691872,0.020899999886751175,-0.01484999991953373,-0.03431999981403351,-0.02062499988824129,-0.008249999955296516,0.016499999910593033,-0.025299999862909317,-0.03849999979138374,,0.007699999958276749,-0.007149999961256981,-0.004399999976158142,-0.020899999886751175,-0.013337499927730326,-0.015124999918043613,0.00494999997317791,-0.0310199998319149,0.015399999916553497,,,,0.003959999978561069,0.028599999845027924,-0.004888888862397935,-0.018149999901652336,0.015399999916553497,-0.0310199998319149,0.03959999978542328,,-0.006049999967217445,,,0.002199999988079071,0.004399999976158142,-0.002199999988079071,-0.019328571323837553,-0.03563999980688095,-0.011366666605075201,-0.015399999916553497,-0.0005499999970197678,,-0.02969999983906746,,-0.028599999845027924,-0.019799999892716247,0.008066666622956594,-0.0038499999791383743,-0.02053333322207133,-0.013933333257834116,0.008969230720630059,-0.006599999964237213,,,,-0.03629999980330467,,0.032999999821186066,0.008662499953061342,-0.0010999999940395355,-0.028599999845027924,-0.013841666591664822,-0.012649999931454659,-0.016028571341718947,,-0.018699999898672104,,,,,0.023099999874830246,-0.026179999858140946,0.0004999999972906979,-0.00989999994635582,-0.005719999969005585,-0.018699999898672104,-0.009074999950826168,,-0.054999999701976776,,0.03739999979734421,,-0.02199999988079071,0.0,-0.015399999916553497,-0.01911249989643693,-0.027499999850988388,-0.01072499994188747,0.00989999994635582,-0.006599999964237213,,,,,0.028599999845027924,-0.022471428449664797,-0.040919999778270724,-0.00414615382368748,-0.008249999955296516,0.0010999999940395355,,-0.0340999998152256,,,0.03519999980926514,
"(23, -77)",,,-0.01209999993443489,-0.015949999913573265,-0.07150000333786011,-0.00835999995470047,-0.030799999833106995,,,-0.020899999886751175,,-0.007699999958276749,,-0.04124999977648258,-0.042899999767541885,-0.021449999883770943,-0.01209999993443489,-0.0682000033557415,-0.01209999993443489,-0.026399999856948853,-0.07699999958276749,,,,,-0.006049999967217445,0.014024999924004078,-0.01613333324591319,-0.042899999767541885,-0.06966666877269745,-0.02942500077188015,,-0.07736666748921077,-0.05444999970495701,,0.004399999976158142,,,,,-0.049866666396458946,,-0.02419999986886978,-0.03629999980330467,,-0.02199999988079071,-0.032999999821186066,-0.01979999989271164,,-0.0340999998152256,-0.01759999990463257,-0.02419999986886978,-0.06270000338554382,-0.040919999778270724,-0.02126666655143102,-0.0494999997317791,,,-0.007699999958243738,0.007699999958276749,,-0.00021999999880790712,-0.0170499999076128,-0.0989999994635582,-0.025299999862909317,-0.002199999988079071,-0.025299999862909317,-0.055366666366656624,-0.06599999964237213,-0.0340999998152256,-0.03585999980568886,,-0.05719999969005585,-0.0494999997317791,,-0.04839999973773956,-0.06379999965429306,,-0.02199999988079071,-0.020899999886751175,,,-0.01209999993443489,-0.02337499987334013,-0.0170499999076128,,-0.008616666619956637,,-0.05500000094374021,,-0.023099999874830246,-0.006599999964237213,-0.011549999937415123,-0.06710000336170197,,-0.045099999755620956,-0.036574999801814556,-0.020899999886751175,-0.004399999976158142,,-0.07919999957084656,-0.030799999833106995,-0.020899999886751175,,,-0.011366666605075201,,-0.02474999986588955,,0.013199999928474426,-0.013199999928474426,-0.006599999964237213,,-0.04344999976456165,-0.052799999713897705,,,,-0.02126666655143102,-0.03981999978423119,0.002199999988079071,,-0.012924999929966402,-0.054999999701976776,-0.06270000338554382,-0.022549999877810478,-0.015399999916553497,-0.03959999978542328,-0.07809999957680702,-0.022733333210150402,-0.0032999999821186066,,0.04399999976158142,,-0.06242499966174364,-0.027133333186308544,-0.026766666521628697,-0.037949999794363976,,,-0.030799999833106995,-0.028599999845027924,,-0.04729999974370003,0.013199999928474426,-0.015399999916553497,-0.02530000110467275,-0.02053333322207133,-0.010999999940395355,-0.0032999999821186066,,-0.0712250005453825,-0.030799999833106995,-0.016774999909102917,-0.04730000160634518,-0.017819999903440475,0.008066666622956594,-0.07479999959468842,-0.0032999999821186066,-0.019524999894201756,-0.02951666650672898,-0.027499999850988388,-0.06966666628917058,,,,-0.04729999974370003,-0.05719999969005585,-0.05719999969005585,0.004399999976189377,-0.015949999913573265,-0.047850001603364944,-0.05609999969601631,-0.04730000098546346,-0.0835999995470047,,-0.005499999970197678,-0.0065999999642401,-0.05224999971687794,-0.010266666611035665,-0.012649999931454659,-0.1023000031709671,-0.050049999728798866,-0.023099999874830246,-0.04124999977648258,-0.031239999830722807,,,-0.01759999990463257,,-0.01979999989271164,0.010999999940395355,-0.032999999821190285,,-0.06930000334978104,-0.01924999989569187,-0.015399999916553497,,-0.05334999971091747,,-0.04674999974668026,-0.03134999983012676,
"(23, -76)",,-0.05609999969601631,-0.028599999845027924,-0.03629999980330467,-0.026399999856948853,-0.02199999988079071,-0.04894999973475933,-0.03959999978542328,-0.028599999845027924,-0.03189999982714653,-0.010999999940395355,,-0.03629999980330467,-0.03739999979734421,,-0.040699999779462814,-0.024639999866485594,,-0.040699999779462814,-0.0989999994635582,,,,,-0.0340999998152256,-0.045649999752640724,-0.05389999970793724,-0.02969999983906746,-0.01484999991953373,-0.07700000330805779,,,-0.045099999755620956,,,-0.05389999970793724,,-0.03739999979734421,-0.0340999998152256,-0.008249999955296516,-0.014299999922513962,-0.020074999891221523,,-0.03354999981820583,,-0.042899999767541885,-0.06159999966621399,-0.04454999975860119,-0.06270000338554382,-0.04399999976158142,,,,-0.0649000033736229,-0.045833333084980644,,,,,-0.049866666396458946,-0.05243333304921786,-0.06820000149309635,-0.02969999983906746,-0.07370000084241231,-0.042899999767541885,-0.04014999978244305,-0.07039999961853027,,-0.06673333297173183,,-0.02419999986886978,-0.054999999701976776,-0.026399999856948853,-0.0340999998152256,0.00036666666467984516,-0.010083333278695742,-0.017874999903142452,,-0.03849999979138374,-0.040699999779462814,,,,-0.025299999862909317,,,-0.01924999989569187,-0.021999999880794652,-0.014666666587193808,-0.030799999833106995,-0.022549999877810478,-0.014299999922513962,,,,,-0.023649999871850014,,-0.02694999985396862,-0.02346666653951009,,-0.020899999886751175,,-0.04014999978244305,,,-0.01209999993443489,,,,,-0.02419999986886978,-0.03987499978393316,,,-0.04399999976158142,-0.03336666648586591,,-0.02969999983906746,-0.0494999997317791,-0.0649000033736229,-0.04592499975115061,,-0.05646666760245959,-0.027499999850988388,-0.018699999898672104,-0.03739999979734421,-0.05609999969601631,,-0.0324499998241663,-0.042899999767541885,-0.03739999979734421,,-0.03739999979734421,-0.023833333204189937,-0.005499999970197678,-0.04619999974966049,-0.025299999862909317,-0.023099999874830246,-0.0324499998241663,,-0.010999999940395355,-0.03607999980449676,-0.04619999974966049,,-0.018699999898672104,-0.016814285623175756,-0.030066666503747303,,-0.05389999970793724,-0.06599999964237213,,,-0.040699999779462814,-0.04674999974668026,,,,-0.02337499987334013,-0.022219999879598617,-0.03519999980926514,,,-0.023099999874830246,,,,-0.0494999997317791,0.002199999988079071,-0.000916666661699613,-0.01571428562912217,-0.008799999952316284,-0.04179999977350235,,-0.08139999955892563,-0.060499999672174454,-0.059949999675154686,-0.05169999971985817,-0.07315000146627426,,-0.01759999990463257,,-0.028049999848008156,-0.020899999886751175,-0.025849999859929085,,-0.028599999845027924,,-0.016499999910593033,-0.010999999940395355,-0.04839999973773956,,,-0.017324999906122684,-0.013357142784765788,-0.014666666587193808,,,,,-0.052799999713897705,,
"(23, -75)",,-0.03629999980330467,-0.040699999779462814,,,-0.03211999982595444,,,-0.042899999767541885,-0.1177000030875206,,,-0.04234999977052212,-0.03464999981224537,-0.07370000332593918,-0.03464999981224537,-0.047666666408379875,-0.050599999725818634,,,-0.08745000138878822,-0.0989999994635582,,,-0.06358000040054321,-0.024419999867677688,,,-0.04619999974966049,-0.03116666649778684,-0.008799999952316284,-0.03519999980926514,-0.10395000129938126,-0.08579999953508377,,-0.00989999994635582,-0.07003333419561386,-0.03602500073611736,-0.04436666642626127,,-0.03446666647990545,-0.02603333319226901,,,-0.06160000152885914,-0.13199999928474426,-0.02969999983906746,-0.05829999968409538,-0.05434000045061112,-0.05531428647892816,-0.04674999974668026,,-0.04729999974370003,-0.05500000094374021,-0.0494999997317791,,-0.03739999979734421,,,-0.050599999725818634,-0.03382499981671572,-0.04179999977350235,-0.04537499975413084,,-0.0494999997317791,0.0010999999940395355,,,-0.07205000147223473,,,-0.062479999661445615,-0.03813333374758562,-0.059950001537799835,-0.009899999946332394,-0.04179999977350235,-0.06072000041604042,,,,,-0.02969999983906746,,-0.03551428552184786,-0.04124999977648258,-0.03923333312074343,-0.02419999986886978,-0.03959999978542328,-0.040699999779462814,,,-0.0340999998152256,-0.05939999967813492,,,-0.04326666643222173,-0.04553999975323677,-0.06226000115275383,,-0.05060000096758207,-0.023099999874830246,,,-0.05609999969601631,,,,-0.04729999974370003,-0.02346666653951009,-0.0494999997317791,,-0.04326666643222173,,,,-0.0989999994635582,,-0.025299999862909317,-0.04179999977350235,-0.062425000593066216,-0.024566666533549626,-0.046750000367561974,-0.01759999990463257,-0.045833333084980644,-0.04729999974370003,,,-0.055275000631809235,,,-0.04729999974370003,-0.04436666642626127,-0.03795000072568655,-0.052171428820916584,,-0.0511499997228384,,,-0.05719999969005585,-0.09790000319480896,,,-0.06806250102818012,-0.028874999843537807,-0.04179999977350235,-0.031239999830722807,-0.03189999982714653,-0.03629999980330467,,,,-0.04839999973773956,,,-0.07406666750709216,-0.032999999821186066,-0.055366666366656624,,-0.03904999978840351,-0.047849999740719795,,,,-0.07150000333786011,,-0.09019999951124191,-0.057337500620633364,-0.02694999985396862,-0.045099999755620956,,-0.03959999978542328,,,-0.042899999767541885,,,,,-0.053460000455379485,-0.03959999978542328,-0.042899999767541885,-0.025299999862909317,-0.047024999745190144,-0.04014999978244305,,,-0.05857499968260527,,,-0.033733333150545754,-0.055825000163167715,-0.03382499981671572,-0.03382499981671572,-0.025849999859929085,-0.03767499979585409,-0.008799999952316284,,,-0.05353333428502083,,,-0.06270000040531158,-0.06930000148713589
"(23, -74)",,-0.05609999969601631,-0.06379999965429306,,,0.016499999910593033,-0.013199999928474426,,,0.004399999976158142,,-0.05939999967813492,-0.05609999969601631,,,,,0.015399999916553497,0.0010999999940395355,0.04894999973475933,0.03189999982714653,,,,-0.03959999978542328,-0.030799999833106995,-0.11220000311732292,,,-0.01209999993443489,-0.018699999898672104,,-0.027499999850988388,,,-0.06270000338554382,,,-0.09496666739384334,,,0.016499999910593033,-0.032999999821186066,-0.05665000155568123,,,,,,-0.042899999767541885,-0.13199999928474426,,-0.01209999993443489,,,,0.018699999898672104,,,,,,,,-0.04399999976158142,,,,,,,,,0.0010999999940395355,,,,,,-0.01063333327571551,,,,,-0.07919999957084656,-0.07479999959468842,,,,,,,,,,,,,-0.04729999974370003,0.08030000329017639,0.018149999901652336,-0.02199999988079071,0.045099999755620956,,,,,,,-0.05939999967813492,,,0.002199999988079071,,,-0.0511499997228384,,,0.00989999994635582,,,,,,,-0.015399999916553497,,,,,,,-0.06159999966621399,,,,,-0.028599999845027924,-0.01924999989569187,,,,,,,,,,,,,,,,,,,,-0.00989999994635582,,,,,,,-0.06599999964237213,,,,,-0.03519999980926514,-0.002199999988079071,-0.00989999994635582,,0.06379999965429306,,,,,,0.0010999999940395355,-0.027499999850988388,0.01979999989271164,,,-0.06599999964237213,,,,,,-0.01759999990463257,-0.07259999960660934,,-0.023099999874830246,0.002199999988079071,-0.015399999916553497,-0.08030000329017639,,,,,-0.12320000305771828
