lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08139999955892563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(22, -77)",,,-0.018699999898672104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014299999922513962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005499999970197678,,,,,,,,,,,,,,,,,0.002199999988079071,,,,,,,,,,,,,,,,,,,,,
"(23, -79)",,,0.12319999933242798,,,,,,,,,,,,,0.09350000321865082,,,,,,,,,,,0.10669999942183495,,,,0.0896500013768673,,0.0775500014424324,,,,,0.11110000312328339,0.1020250003784895,,,,,,,,,,,,0.1022999994456768,,,,,0.07369999960064888,,,,,,0.1210000030696392,,,,,,,,,,,,0.09625000134110451,0.07919999957084656,0.05169999971985817,0.054999999701976776,,,0.07700000330805779,,,,,,0.09460000321269035,,,,,,,,,,,,0.10633333524068196,0.0869000032544136,,,,,,,,0.07810000330209732,,,0.10339999943971634,,,,,,,,,0.07039999961853027,,0.1184333364168803,0.10208000242710114,0.09019999951124191,,,,0.07809999957680702,0.0835999995470047,,,,,0.10083333402872086,0.09239999949932098,,,,,,,,,,,0.09625000134110451,,,0.07150000333786011,,,0.09680000320076942,,,,,,0.11660000123083591,,,,,,,,,,,0.12430000305175781,0.09570000320672989,,,,,0.08470000326633453,0.07810000081857045,,,,,0.11330000311136246,0.09166666616996129,,,,,,,,,,,,,,,,,0.08139999955892563,0.07865000143647194,,,,
"(23, -78)",,,0.08139999955892563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.103828801926284e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025299999862909317,,,,,,,,0.05719999969005585,,,,,,,,,,,,0.030799999833106995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004399999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -77)",,,,,-0.010999999940395355,0.01979999989271164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.881784197001252e-15,0.006599999964237213,,,,,,,,,,,,,-0.007699999958276749,,,,,,,,,,,-0.016499999910593033,-0.008799999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005499999970197678,,,,,,,,,,,,0.007699999958276749,,,,,,,,,,,,,,,,,,0.005499999970197678,,,,,,,,,,,,,,,,,-0.0032999999821186066,,,,,,,,,,,,,0.008249999955296516,,,,,,,,
"(23, -76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01209999993443489,,,,,,,,,,,,,,,,,,,,,,0.0010999999940395355,,,,,,,,-0.010999999940395355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010999999940395355,,,,,,,,,,,,0.014299999922513962,,,,,,,,,,,,,,,,,,,,,,,,,0.0032999999821186066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -75)",,,,,-0.020349999889731407,,,,,,,,,,,,,,,,,,,,,,,,,,0.002199999988079071,,,,,,,,,-0.01209999993443489,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010999999940395355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013199999928474426,,,,,,,,
"(23, -74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00989999994635582,,,,,,,,,,,,,,,,,,,,,,,,,0.09019999951124191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006599999964237213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015949999913573265,,,,,,,,,,,,,,,,,,,
"(23, -73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004399999976158142,,,,,,,,,,,,,,0.05555000156164169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07699999958276749,,,,,,,,,,,,0.05389999970793724,,,,,,,,,,,,,,,,,,,,,,,,0.050599999725818634,0.03739999979734421,,,,,,,,,,,,,,,,,,,,,,,0.07370000332593918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(23, -71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07919999957084656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10779999941587448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
