lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -78)",,,,0.007699999958276749,,,,-0.007699999958276749,,,,,,,0.02199999988079071,,,0.0010999999940395355,,,,,,,,,0.020899999886751175,,0.00989999994635582,-0.013199999928474426,0.004399999976158142,,,,,,,,,,0.004399999976158142,,,,,,,0.010999999940395355,,,,,,,,-0.03629999980330467,,,,,-0.005499999970197678,,,,,,,0.002199999988079071,,,,,,,,,,,-0.005499999970197678,,,,,,,,0.014299999922513962,,0.002199999988079071,,0.006599999964237213,,,,,,,,,-0.0016499999910593033,,,,,-0.002199999988079071,,,,,0.007699999958276749,,-0.008799999952316284,,,,,,,,,,,0.01979999989271164,,,,,,,,,,,0.004399999976158142,-0.00989999994635582,0.0032999999821186066,,,,,,,,,0.01209999993443489,,,,0.014299999922513962,,-0.023099999874830246,,,,,,0.002199999988079071,,,,,,,,,,,,,,,,,,,0.010999999940395355,,,,,,,-0.014299999922513962,,,,,,,,,,,,,,0.0005499999970197678,0.002199999988079071,,,,,
"(22, -77)",,0.005499999970197678,-0.014299999922513962,-0.01979999989271164,0.008066666622956594,0.008799999952316284,,,,,0.0029333333174387612,,-0.02969999983906746,,,0.008066666622953708,,0.0170499999076128,-0.020899999886751175,,-0.03739999979734421,,,0.025299999862909317,-0.0340999998152256,,0.06379999965429306,0.028599999845027924,0.011471428509269441,-0.012924999929964542,-7.66053886991358e-15,-0.01759999990463257,,,,,-0.008799999952316284,,0.020899999886751175,-0.009349999949336052,-0.005499999970184196,,-0.02969999983906746,,,-0.02199999988079071,,-0.005499999970197678,-0.026399999856948853,,,0.002199999988079071,-0.004399999976158142,-0.010999999940395355,-0.0016499999910593033,,,-0.002199999988079071,0.006599999964237213,,-0.02969999983906746,,,,-0.0010999999940395355,,-0.01209999993443489,,,,-0.008799999952316284,,,-0.010999999940395355,-0.0010999999940395355,-0.0013199999928474426,-0.01209999993443489,,-0.015399999916553497,,-9.103828801926284e-15,,,,,,,0.0028599999845011713,0.0032999999821186066,,0.0,,,,,-0.02199999988079071,,0.006049999967217445,-0.006599999964237213,-0.005224999971687794,,,,,,-0.0005499999970197678,,-0.007699999958276749,-0.04839999973773956,-0.006599999964237213,0.02199999988079071,0.023099999874830246,0.0007333333293596903,-0.004399999976158142,,-0.04399999976158142,,,,,-0.026399999856948853,,-0.014299999922513962,0.007149999961256981,,-0.020899999886751175,,,-0.0038499999791383743,,,,0.07699999958276749,,-0.006049999967217445,,,-0.018699999898672104,,-0.02199999988079071,-0.013199999928474426,-0.030799999833106995,,-0.03959999978542328,,0.03629999980330467,-0.0008249999955296516,0.017966666569312412,-0.02419999986886978,,,,,,,,0.06270000338554382,,0.0038499999791383743,0.0010999999940395355,-0.00989999994635582,-0.0032999999821186066,-0.018699999898672104,-0.0032999999821186066,-0.01209999993443489,0.02969999983906746,,-0.016499999910593033,,,0.0019799999892899933,,-0.013199999928474426,-0.005499999970197678,,,0.025299999862909317,0.010999999940395355,-0.00989999994635582,0.03959999978542328,0.013199999928474426,-0.01759999990463257,-0.006599999964237213,,-0.023099999874830246,,-0.032999999821186066,-0.016499999910593033,,,,,,-0.007699999958276749,0.006233333299557368,-0.00494999997317791,-0.010999999940395355,-8.326672684688674e-15,-0.02199999988079071,-0.009349999949336052,,-0.03519999980926514,-0.020349999889731407
"(22, -76)",,-0.00989999994635582,-0.03629999980330467,-0.014299999922513962,-0.009899999946359928,-0.015033333251873652,,-0.026399999856948853,,,,-0.027499999850988388,-0.02199999988079071,,,,,,,,-0.01759999990463257,,,,,,-0.006599999964237213,,-0.016499999910593033,,-0.025299999862909317,,,,,,,,,-0.0038499999791383743,-0.0010999999940395355,-0.03959999978542328,-0.02199999988079071,,,-0.018699999898672104,,,-0.02419999986886978,-0.035933333138624825,-0.012649999931454659,-0.012466666599114736,-0.025299999862909317,-0.035200001671910286,-0.026766666521628697,,,,,,,,,,-0.0032999999821186066,,,,,,,,,-0.0324499998241663,-0.007479999959468841,-0.0038499999791383743,-0.02419999986886978,,,,,,-0.03519999980926514,,,,,0.003574999980651583,-0.013199999928474426,,,-0.01759999990463257,,-0.013199999928474426,-0.02419999986886978,-0.03519999980926514,,,-0.0016499999910593033,-0.011549999937415123,-0.014299999922513962,,,,,,-0.02969999983906746,,,-0.014299999922513962,-0.010999999940395355,-0.016499999910593033,-0.018699999898672104,,-0.005499999970197678,,,,,-0.02969999983906746,-0.0340999998152256,,,,-0.025299999862909317,,,,,,,-0.017233333239952724,-0.010999999940395355,-0.014299999922513962,,,-0.02419999986886978,,,,,,,,,-0.014666666587193808,-0.009239999949932099,,,,,,,,,,,,-0.013199999928474426,-0.03904999978840351,,,,-0.010999999940395355,,-0.03464999981224537,,-0.02969999983906746,-0.007699999958276749,0.0,-0.002199999988079071,-0.008249999955296516,-0.02199999988079071,-0.01759999990463257,,,-0.03959999978542328,,,,,-0.007699999958276749,-0.01209999993443489,-0.01759999990463257,,,-0.04179999977350235,,,,,,-0.00989999994635582,0.0,-0.004399999976158142,,,,,,,,
"(22, -75)",,-0.07150000333786011,,-0.05719999969005585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0340999998152256,,,,-0.06929999962449074,,,,,,,,,,,-0.07062000036239624,-0.10559999942779541,,,-0.032999999821186066,,,,,,,,-0.042679999768733975,,,-0.027499999850988388,-0.02823333318034808,,,,,,,-0.0869000032544136,-0.05362499970942736,,,,,,,,,,,,-0.0494999997317791,-0.035749999806284904,,,,,,,-0.03189999982714653,,,-0.06270000338554382,,,,,,,,,,,-0.03959999978542328,,,,,,,,,,,,,-0.06379999965429306,-0.041616667062044144,-0.0494999997317791,,,,,,,,,,-0.06270000338554382,,,-0.020899999886751175,,,,,,,,,-0.06380000151693821,-0.05472499970346689,,,,,,,,,,,-0.06490000151097775,-0.050599999725818634,,,,,,,,,,,-0.03904999978840351,-0.042899999767541885,,-0.023649999871850014,,,,,,,,,-0.07480000331997871,-0.057749999687075615,-0.01209999993443489,,,,,,,,,-0.09130000323057175,,-0.037949999794363976,,-0.03739999979734421,-0.03629999980330467,,,,,,,-0.059949999675154686
"(23, -79)",,0.18150000274181366,,,,0.016499999910593033,,,0.06379999965429306,,0.010999999940395355,0.04097500070929527,0.12870000302791595,0.19030000269412994,0.07810000330209732,,0.03189999982714653,,,,,,,0.02708750031888485,0.12759999930858612,0.04399999976158142,0.083600003272295,0.09679999947547913,0.07369999960064888,0.02603333319226901,,,,0.01759999990463257,0.005133333305517833,0.03483333314458529,,0.16060000658035278,,0.0681999996304512,,,,,,0.021449999883770943,-0.006966666628917058,0.07259999960660934,,0.07039999961853027,0.08139999955892563,,0.03904999978840351,,,,0.08249999955296516,,0.00989999994635582,0.12099999934434891,,0.0649000033736229,,,0.017599999904628072,,,,,,0.02815999984741211,,0.026399999856948853,0.06214999966323376,,0.03923333312074343,0.026399999856948853,,,,,0.0038499999791383743,0.030249999836087227,,,,0.10450000315904617,0.0704000008602937,0.02507999986410141,0.028599999845027924,,,,0.008799999952316284,0.03107499983161688,,0.03739999979734421,0.07700000144541264,0.09459999948740005,0.07480000083645184,,,,,,-0.0005499999970219882,0.025299999862909317,,0.05060000158846378,0.06930000334978104,,,0.040699999779462814,0.08139999955892563,0.01759999990463257,,,0.002199999988079071,0.12870000302791595,,0.1826000064611435,,0.0682000033557415,,,,,0.018699999898672104,-0.0008249999955296516,0.019328571323837553,,0.18479999899864197,0.09569999761879444,,0.04730000098546039,0.025299999862909317,0.014299999922513962,,,,0.013749999925494194,0.03978333373864492,0.015399999916553497,0.03189999982714653,,,0.028599999845027924,0.054999999701976776,,,,,0.007149999961256981,0.030249999836087227,0.11879999935626984,,,0.07479999959468842,,0.026399999856948853,0.04399999976158142,,,-0.004399999976158142,-0.00043999999761581423,0.0058666666348775225,,0.08176666622360547,0.07590000331401825,0.06159999966621399,0.027774999849498272,0.04164285691721099,,0.045099999755620956,,0.03959999978542328,0.013199999928474426,0.07590000331401825,0.03189999982714653,0.17875000089406967,0.08745000138878822,,,,,,,0.02199999988079071,0.028049999848008156,0.09955000132322311,,0.1023000031709671,,0.004399999976158142,0.010999999940393934,,,,,0.021449999883770943,0.03739999979734421,0.12870000302791595,
"(23, -78)",0.030799999833106995,0.014299999922513962,0.04839999973773956,0.028049999848008156,0.001759999990463257,-0.0019249999895691872,0.01283333326379458,0.004399999976158142,,0.0010999999940395355,-0.025299999862909317,,0.002199999988079071,0.01622499991208315,0.022366666545470554,0.025519999861717223,,-0.005912499967962503,-0.04839999973773956,-0.0010999999940395355,0.0,,-0.010449999943375587,0.01209999993443489,0.042899999767541885,0.040699999779462814,0.035016666476925216,0.007974999956786633,0.007228571389402662,0.0012833333263794582,-0.013199999928474426,-7.438494264988549e-15,-0.016499999910593033,0.023099999874830246,,0.015399999916553497,0.011942857078142244,0.009899999946351212,0.014457142778805323,-0.0003384615366275494,0.0058666666348775225,-0.027028571282114302,0.015399999916553497,-0.0010999999940395355,-0.0032999999821186066,0.0005499999970197678,,0.00989999994635582,0.0005499999970197678,0.009349999949336052,-0.0015124999917804083,0.003959999978562223,-0.0035749999806202006,0.003666666646798452,0.02346666653951009,0.005499999970197678,0.00366666664679538,-0.02419999986886978,0.004766666640837987,0.02823333318034808,0.010999999940395355,0.060499999672174454,0.011366666605075201,0.004766666640837987,0.002199999988079071,-0.011733333269723959,0.013749999925494194,0.016499999910593033,,0.007699999958276749,-0.02969999983906746,0.03189999982714653,0.01209999993443489,0.05719999969005585,0.0005076923049485662,0.008341666621466478,0.0035199999809248927,0.006966666628917058,0.010449999943375587,-0.0018333333234022975,9.214851104388799e-14,,0.007699999958324599,-0.002199999988079071,0.011733333269755045,0.029857142695358822,0.01553749991580844,-0.004033333311478297,0.01347499992698431,-0.0012374999932944775,-0.002199999988079071,,0.007699999958276749,0.010999999940395355,0.008066666622988791,-0.018699999898672104,0.032999999821186066,0.028599999845027924,0.028599999845027924,0.001833333323397801,-0.01759999990463257,-0.002199999988079071,0.006049999967217445,0.026399999856948853,-0.004839999973775755,-0.00989999994635582,,0.027133333186308544,0.010999999940395355,0.005224999971687794,-0.004124999977648258,0.003987499978393316,0.005224999971687794,0.020349999889731407,-0.016279999911785126,0.02419999986886978,,,,0.013419999927282333,0.03519999980926514,0.019433333228031795,0.015399999916553497,0.027499999850988388,-0.021779999881982804,0.050599999725818634,,0.0038499999791383743,,,0.018699999898672104,0.015399999916553497,0.017874999903142452,-0.010214285658938544,-0.013199999928474426,0.008616666619976362,0.008579999953508378,0.007699999958276749,,-0.005499999970197678,,0.016499999910593033,0.009349999949336052,0.01833333323399226,0.006049999967215336,-0.0032999999821186066,0.005499999970197678,0.023099999874830246,0.007149999961256981,,,,-0.005499999970197678,,0.03629999980330467,0.023924999870359898,0.005133333305517833,-0.007149999961256981,0.004033333311478297,0.007149999961256981,-0.003457142838409969,,-0.011549999937415123,,,,,0.032999999821186066,-0.0030799999833106993,0.011899999935518612,0.0028999999842944453,0.0032999999821186066,0.003666666646798452,0.007149999961256981,,-0.01484999991953373,,0.042899999767541885,,0.004399999976158142,0.00977777772479587,-0.003519999980926514,-0.007149999961256981,-0.009716666614015898,-0.0005499999970197678,0.020899999886751175,0.007699999958276749,,,,,0.032999999821186066,-0.005499999970197678,-0.02353999987244606,0.011084615324552242,0.01411666659017404,0.01484999991953373,,0.004399999976158142,,,0.040699999779462814,
"(23, -77)",,,0.006874999962747097,-0.004399999976158142,-0.014299999922513962,0.003959999978540773,-0.02419999986886978,,,-0.00494999997317791,,0.006599999964237213,,-0.032999999821186066,-0.030799999833106995,0.00494999997317791,-0.002199999988079071,-0.01484999991953373,-0.006049999967217445,-0.010999999940395355,-0.030799999833106995,,,,,0.013199999928474426,0.027224999852478504,0.005133333305517833,0.004399999976158142,-0.0010999999940395355,-0.014024999924004078,,-0.037766666462024055,-0.020899999886751175,,0.016499999910593033,,,,,-0.01283333326379458,,-0.018699999898672104,-0.016866666575272877,,-0.006599999964237213,-0.01613333324591319,-0.00989999994635582,,-0.027499999850988388,-0.010999999940395355,-0.015399999916553497,-0.010999999940395355,-0.024859999865293504,-0.008066666622956594,-0.01759999990463257,,,0.015033333251873652,0.013199999928474426,,0.012319999933242797,-0.00989999994635582,-0.028599999845027924,-0.015399999916553497,0.006599999964237213,-0.010999999940395355,0.0007333333293918868,-0.0032999999821186066,0.003666666646798452,-0.01143999993801117,,-0.014299999922513962,-0.027499999850988388,,0.014299999922513962,0.0010999999940395355,,0.002199999988079071,-0.012466666599114736,,,-0.0030799999833124756,-0.013749999925494194,-0.00494999997317791,,0.0007333333293596903,,-0.0025666666527589164,,9.348077867343818e-14,0.002199999988079071,-0.00494999997317791,-0.006599999964237213,,-0.02914999984204769,-0.01842499990016222,0.028599999845027924,0.006599999964237213,,-0.0010999999940395355,-0.018699999898672104,-0.00989999994635582,,,0.002199999988079071,,-0.0010999999940395355,,0.01759999990463257,-0.007699999958276749,-0.0032999999821186066,,-0.018149999901652336,-0.025299999862909317,,,,-0.01283333326379458,-0.02199999988079071,0.00989999994635582,,-0.006324999965727329,-0.01484999991953373,-0.00989999994635582,-0.015949999913573265,-0.010999999940395355,-0.01759999990463257,-0.002749999985050655,-0.004033333311478297,0.008799999952316284,,0.04729999974370003,,-0.006599999964239461,0.0025666666527589164,-0.02126666655143102,-0.02419999986886978,,,-0.013199999928474426,-0.015399999916553497,,-0.01979999989271164,0.018699999898672104,-0.008799999952316284,0.011366666605075201,-0.001833333323399226,-0.0032999999821186066,0.0032999999821186066,,-0.028599999845027924,-0.015399999916553497,0.002749999985098839,-0.012649999931454659,-0.004839999973773957,0.016499999910593033,-0.014299999922513962,0.005499999970197678,-0.00494999997317791,-0.011916666602094969,-0.023099999874830246,-0.002199999988079071,,,,-0.005499999970197678,-0.004399999976158142,-0.006599999964237213,0.011366666605075201,-0.006049999967217445,-0.011549999937415123,-0.015399999916553497,-0.01209999993443489,-0.02419999986886978,,0.020166666557391483,0.0014666666587193806,-0.03464999981224537,-0.004399999976158142,0.0035749999806284904,-0.016499999910593033,-0.0005499999970197678,-0.018699999898672104,-0.025299999862909317,-0.008799999952316284,,,-0.006049999967221664,,-0.014299999922513962,0.016499999910593033,-0.007699999958276749,,0.0010999999940395355,-0.013199999928474426,-0.008799999952316284,,-0.03739999979734421,,-0.02419999986886978,-0.01924999989569187,
"(23, -76)",,-0.025299999862909317,-0.011549999937415123,-0.023099999874830246,-0.00989999994635582,-0.007333333293596904,-0.023099999874830246,-0.01979999989271164,-0.013199999928474426,-0.02419999986886978,-0.002199999988079071,,-0.027499999850988388,-0.02969999983906746,,-0.007699999958276749,-0.014959999918937683,,-0.027499999850988388,-0.028599999845027924,,,,,-0.026399999856948853,-0.03134999983012676,-0.015399999916553497,-0.01055999994277954,-0.007424999959766865,-0.009349999949336052,,,-0.0340999998152256,,,-0.020899999886751175,,-0.028599999845027924,-0.02969999983906746,-0.0032999999821186066,-0.005499999970197678,-0.014299999922513962,,-0.010999999940395355,,-0.028599999845027924,-0.04179999977350235,-0.030799999833106995,-0.04729999974370003,-0.037949999794363976,,,,-0.018699999898672104,-0.024933333198229473,,,,,-0.02969999983906746,-0.03483333314458529,-0.042899999767541885,-0.02199999988079071,-0.014666666587193808,-0.028049999848008156,-0.013749999925494194,-0.015399999916553497,,-0.018699999898672104,,-0.014299999922513962,-0.0494999997317791,-0.01209999993443489,-0.026399999856948853,0.012466666599114736,-0.00018333333233992258,-0.011274999938905239,,-0.023099999874830246,-0.02199999988079071,,,,-0.018699999898672104,,,-0.00989999994635582,-0.0005499999970197678,-0.008799999952316284,-0.025849999859929085,-0.010449999943328403,-0.00989999994635582,,,,,-0.018149999901652336,,-0.002199999988079071,-0.015399999916553497,,-0.015399999916553497,,-0.03189999982714653,,,-0.0032999999821186066,,,,,-0.01272857135960034,-0.011549999937415123,,,-0.03519999980926514,-0.019066666563351948,,-0.025299999862909317,-0.0340999998152256,-0.03959999978542328,-0.023649999871850014,,-0.02346666653951009,-0.02419999986886978,-0.00989999994635582,-0.030799999833106995,-0.026399999856948853,,-0.020349999889731407,-0.03849999979138374,-0.025849999859929085,,-0.025299999862909317,-0.015033333251873652,0.0005499999970154379,-0.03189999982714653,-0.020899999886751175,-0.01759999990463257,-0.02419999986886978,,-0.005499999970197678,-0.024859999865293504,-0.030799999833106995,,-0.01209999993443489,-0.007542857101985386,-0.007333333293596904,,-0.026399999856948853,-0.014299999922513962,,,-0.025299999862909317,-0.03684999980032444,,,,-0.01209999993443489,-0.005719999969009004,-0.01759999990463257,,,-0.01759999990463257,,,,-0.01979999989271164,0.00989999994635582,0.010266666611035665,-0.004714285688740867,-0.003299999982071422,-0.016499999910593033,,-0.023099999874830246,-0.004399999976158142,-0.013199999928474426,-0.014299999922513962,-0.037949999794363976,,-0.010999999940395355,,-0.015399999916553497,-0.016499999910593033,-0.01924999989569187,,-0.020899999886751175,,-0.010999999940395355,-0.005499999970197678,-0.040699999779462814,,,-0.0031624999828636646,-0.00785714281456811,-0.011733333269755045,,,,,-0.01209999993443489,,
"(23, -75)",,-0.027499999850988388,-0.03189999982714653,,,-0.02067999988794327,,,-0.03684999980032444,-0.07699999958276749,,,-0.03629999980330467,-0.028049999848008156,-0.04839999973773956,-0.028049999848008156,-0.033733333150545754,-0.03354999981820583,,,-0.057749999687075615,-0.09459999948740005,,,-0.047520000487565994,-0.012319999933242797,,,-0.03739999979734421,-0.024933333198229473,-0.0032999999821186066,-0.023099999874830246,-0.057749999687075615,-0.07479999959468842,,-0.0007333333293596903,-0.06013333424925804,-0.022824999876320362,-0.035933333138624825,,-0.024566666533549626,-0.021633333216110866,,,-0.04124999977648258,-0.09790000319480896,-0.023099999874830246,-0.04363333433866501,-0.0464199997484684,-0.04399999976158142,-0.03629999980330467,,-0.033733333150545754,-0.024566666533549626,-0.03519999980926514,,-0.02969999983906746,,,-0.04454999975860119,-0.026399999856948853,-0.01759999990463257,-0.036574999801814556,,-0.0409749997779727,0.007699999958276749,,,-0.05334999971091747,,,-0.0539000004529953,-0.023833333204189937,-0.03959999978542328,-0.0013749999925494194,-0.035749999806284904,-0.03761999979615212,,,,,-0.005499999970197678,,-0.027342856994697025,-0.0324499998241663,-0.024566666533549626,-0.015399999916553497,-0.0170499999076128,-0.01979999989271164,,,-0.028599999845027924,-0.0494999997317791,,,-0.03391666648288568,-0.030139999836683272,-0.04773999974131584,,-0.037766666462024055,-0.00989999994635582,,,-0.047849999740719795,,,,-0.045099999755620956,-0.017233333239952724,-0.04399999976158142,,-0.026399999856948853,,,,-0.0681999996304512,,-0.015399999916553497,-0.03354999981820583,-0.05169999971985817,-0.016499999910593033,-0.0397833331177632,-0.00989999994635582,-0.03629999980330467,-0.03519999980926514,,,-0.047024999745190144,,,-0.040699999779462814,-0.03666666646798452,-0.029974999837577343,-0.03472857124039105,,-0.045649999752640724,,,-0.04729999974370003,-0.09239999949932098,,,-0.0475750002078712,-0.01759999990463257,-0.03629999980330467,-0.017379999905824662,-0.01759999990463257,-0.02199999988079071,,,,-0.045099999755620956,,,-0.06783333296577136,-0.028599999845027924,-0.04326666643222173,,-0.025849999859929085,-0.01924999989569187,,,,-0.06270000338554382,,-0.052799999713897705,-0.03602499980479479,-0.018974999897181988,-0.02969999983906746,,-0.03263333315650622,,,-0.026399999856948853,,,,,-0.044439999759197234,-0.03629999980330467,-0.03272499982267618,-0.015949999913573265,-0.025024999864399433,-0.021449999883770943,,,-0.04977499973028898,,,-0.027133333186308544,-0.04826250113546848,-0.026674999855458736,-0.01979999989271164,-0.011549999937415123,-0.018699999898672104,-0.004399999976158142,,,-0.047666666408379875,,,-0.05323999971151352,-0.054174999706447124
"(23, -74)",,-0.04839999973773956,-0.05939999967813492,,,0.02199999988079071,-0.008799999952316284,,,0.008799999952316284,,-0.04839999973773956,-0.04179999977350235,,,,,0.02199999988079071,0.005499999970197678,0.059950001537799835,0.040699999779462814,,,,-0.0340999998152256,-0.021449999883770943,-0.08579999953508377,,,-0.005499999970197678,-0.013199999928474426,,-0.013199999928474426,,,-0.05169999971985817,,,-0.08286666870117188,,,0.025299999862909317,-0.020349999889731407,-0.042899999767541885,,,,,,-0.030799999833106995,-0.10890000313520432,,0.006599999964237213,,,,0.026399999856948853,,,,,,,,-0.015399999916553497,,,,,,,,,0.014299999922513962,,,,,,-0.00036666666467984516,,,,,-0.07370000332593918,-0.06270000338554382,,,,,,,,,,,,,-0.040699999779462814,0.08579999953508377,0.03630000166594982,-0.0057749999687075615,0.0494999997317791,,,,,,,-0.052799999713897705,,,0.007699999958276749,,,-0.04730000160634518,,,0.032999999821186066,,,,,,,-0.009349999949336052,,,,,,,-0.0494999997317791,,,,,0.004399999976158142,-0.013199999928474426,,,,,,,,,,,,,,,,,,,,-0.005499999970197678,,,,,,,-0.06159999966621399,,,,,-0.025299999862909317,0.013749999925494194,-0.002199999988079071,,0.07039999961853027,,,,,,0.010450001806020737,-0.01979999989271164,0.02969999983906746,,,-0.060499999672174454,,,,,,-0.007699999958276749,-0.06599999964237213,,-0.007699999958276749,0.01209999993443489,-0.005499999970197678,-0.06710000336170197,,,,,-0.09680000320076942
