lat_lon_bins,"(9, 1)","(10, 1)","(11, 1)","(12, 1)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(10, 2)","(11, 2)","(12, 2)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(10, 3)","(11, 3)","(12, 3)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(10, 4)","(11, 4)","(12, 4)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(10, 5)","(11, 5)","(12, 5)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(10, 6)","(11, 6)","(12, 6)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(10, 7)","(11, 7)","(12, 7)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(10, 8)","(11, 8)","(12, 8)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)","(10, 9)","(11, 9)","(12, 9)","(1, 10)","(2, 10)","(3, 10)","(4, 10)","(5, 10)","(6, 10)","(7, 10)","(8, 10)","(9, 10)","(10, 10)","(11, 10)","(12, 10)","(1, 11)","(2, 11)","(3, 11)","(4, 11)","(5, 11)","(6, 11)","(7, 11)","(8, 11)","(9, 11)","(10, 11)","(11, 11)","(12, 11)","(1, 12)","(2, 12)","(3, 12)","(4, 12)","(5, 12)","(6, 12)","(7, 12)","(8, 12)","(9, 12)","(10, 12)","(11, 12)","(12, 12)","(1, 13)","(2, 13)","(3, 13)","(4, 13)","(5, 13)","(6, 13)","(7, 13)","(8, 13)","(9, 13)","(10, 13)","(11, 13)","(12, 13)","(1, 14)","(2, 14)","(3, 14)","(4, 14)","(5, 14)","(6, 14)","(7, 14)","(8, 14)","(9, 14)","(10, 14)","(11, 14)","(12, 14)","(1, 15)","(2, 15)","(3, 15)","(4, 15)","(5, 15)","(6, 15)","(7, 15)","(8, 15)","(9, 15)","(10, 15)","(11, 15)","(12, 15)","(1, 16)","(2, 16)","(3, 16)","(4, 16)","(5, 16)","(6, 16)","(7, 16)","(8, 16)","(9, 16)","(10, 16)","(11, 16)","(12, 16)","(1, 17)","(2, 17)","(3, 17)","(4, 17)","(5, 17)","(6, 17)","(7, 17)","(8, 17)","(9, 17)","(10, 17)","(11, 17)","(12, 17)","(1, 18)","(2, 18)","(3, 18)","(4, 18)","(5, 18)","(6, 18)","(7, 18)"
"(22, -78)",,,,37.35,,,,37.9,,,,,,,35.775000000000006,,,37.6,,,,,,,,,22.750000000000004,,42.150000000000006,10.850000000000001,44.25,,,,,,,,,,46.7,,,,,,,28.950000000000003,,,,,,,,30.05,,,,,23.05,,,,,,,41.400000000000006,,,,,,,,,,,30.900000000000002,,,,,,,,36.75,,39.5,,43.1,,,,,,,,,36.8,,,,,23.05,,,,,19.25,,27.200000000000003,,,,,,,,,,,23.25,,,,,,,,,,,34.95,52.0,39.7,,,,,,,,,38.85,,,,44.5,,27.25,,,,,,43.525000000000006,,,,,,,,,,,,,,,,,,,52.5,,,,,,,41.85,,,,,,,,,,,,,,27.025,27.5,,,,,
"(22, -77)",,30.550000000000004,20.35,25.200000000000003,22.71666666666667,49.6,,,,,23.21666666666667,,43.900000000000006,,,43.300000000000004,,9.25,28.85,,76.60000000000001,,,8.8,61.7,,24.125,18.5,13.514285714285716,17.5,30.75,15.850000000000001,,,,,39.35,,46.225,26.55,25.314285714285717,,24.05,,,12.65,,11.8,41.75,,,8.033333333333333,14.083333333333334,26.71666666666667,19.925,,,14.483333333333334,27.700000000000003,,29.0,,,,52.650000000000006,,7.7,,,,47.85,,,34.65,46.800000000000004,15.35,44.45,,20.85,,33.4,,,,,,,25.820000000000004,28.075,,38.25,,,,,56.85,,49.675,33.550000000000004,15.537500000000001,,,,,,18.925,,18.1,63.85,40.650000000000006,7.1000000000000005,17.825000000000003,30.483333333333338,10.600000000000001,,34.0,,,,,41.95,,25.200000000000003,19.175,,14.525,,,38.95,,,,9.05,,16.6875,,,15.100000000000001,,26.5,80.65,14.600000000000001,,55.5,,12.200000000000001,18.275000000000002,23.55,67.9,,,,,,,,9.1,,20.9875,10.5,18.85,20.150000000000002,42.550000000000004,15.1,11.65,10.5,,59.75,,,38.28,,7.1000000000000005,38.85,,,15.375,22.25,19.3,6.300000000000001,38.95,8.9,38.71666666666667,,15.3,,29.3,42.125,,,,,,9.316666666666668,9.9,25.675000000000004,20.225,32.1,25.950000000000003,28.575000000000003,,44.0,64.65
"(22, -76)",,23.400000000000002,11.950000000000001,5.95,6.950000000000001,9.933333333333335,,13.65,,,,14.0,18.7,,,,,,,,8.4,,,,,,7.7,,14.75,,21.8,,,,,,,,,11.45,9.950000000000001,6.7,7.550000000000001,,,15.3,,,17.400000000000002,13.166666666666666,10.350000000000001,7.533333333333334,9.850000000000001,11.675,11.049999999999999,,,,,,,,,,6.8500000000000005,,,,,,,,,19.400000000000002,10.9,17.900000000000002,10.05,,,,,,12.700000000000001,,,,,11.512500000000001,11.0,,,17.8,,15.5,13.8,42.35,,,14.750000000000002,10.875,8.200000000000001,,,,,,13.250000000000002,,,12.5,8.966666666666667,11.600000000000001,13.3,,12.15,,,,,14.25,18.125,,,,18.5,,,,,,,19.566666666666666,14.25,11.137500000000003,,,13.55,,,,,,,,,11.466666666666669,12.070000000000002,,,,,,,,,,,,9.4375,11.575000000000001,,,,9.850000000000001,,10.400000000000002,,27.400000000000002,10.875,8.525,7.2,16.925,13.825000000000001,20.450000000000003,,,20.0,,,,,10.475000000000001,10.575,27.6,,,21.6,,,,,,14.475000000000001,11.466666666666669,9.9,,,,,,,,
"(22, -75)",,10.65,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,13.625,,,,,,,,,,,10.680000000000001,16.3,,,7.65,,,,,,,,11.809999999999999,,,8.6,9.366666666666667,,,,,,,10.5,10.8625,,,,,,,,,,,,11.200000000000001,12.75,,,,,,,12.9,,,12.850000000000001,,,,,,,,,,,16.85,,,,,,,,,,,,,14.200000000000001,15.058333333333335,14.5,,,,,,,,,,13.200000000000001,,,6.15,,,,,,,,,12.4,13.3625,,,,,,,,,,,13.350000000000001,19.700000000000003,,,,,,,,,,,14.850000000000001,13.350000000000001,,7.65,,,,,,,,,10.825000000000001,12.525,8.0,,,,,,,,,10.05,,11.950000000000001,,8.65,8.15,,,,,,,14.025
"(23, -79)",,18.900000000000002,,,,36.050000000000004,,,10.450000000000001,,41.45,50.225,15.25,16.95,51.1,,43.7,,,,,,,23.99375,25.400000000000002,26.8,35.325,33.6,17.025000000000002,30.866666666666664,,,,45.6,38.583333333333336,35.333333333333336,,11.75,,14.125,,,,,,23.75,38.51666666666667,35.875,,48.300000000000004,10.600000000000001,,9.275,,,,17.725,,42.675000000000004,17.1,,51.75,,,23.05,,,,,,34.28,,13.75,54.10000000000001,,25.36666666666667,12.450000000000001,,,,,26.800000000000004,31.337500000000002,,,,6.550000000000001,22.8,20.6,44.6,,,,42.2,31.25,,19.450000000000003,39.6,31.3,21.166666666666668,,,,,,38.9625,45.72500000000001,,43.375,19.35,,,27.975,13.600000000000001,29.200000000000003,,,25.170000000000005,18.25,,20.5,,10.15,,,,,10.55,38.6,31.73571428571429,,12.65,35.425,,13.716666666666667,31.525000000000002,36.45,,,,48.22500000000001,22.466666666666672,13.15,29.5,,,27.400000000000002,29.225,,,,,36.775000000000006,49.60000000000001,25.450000000000003,,,11.700000000000001,,50.1,44.550000000000004,,,40.550000000000004,43.8,32.4,,30.900000000000006,46.1,10.100000000000001,26.275000000000002,20.099999999999998,,25.950000000000003,,13.4,12.600000000000001,44.400000000000006,17.55,15.225000000000001,21.5,,,,,,,19.3,23.375,21.700000000000003,,25.35,,35.75,39.74,,,,,17.3,50.275000000000006,18.25,
"(23, -78)",38.15,24.650000000000002,8.175,15.4375,11.860000000000001,18.7375,18.233333333333334,18.175,,28.35,25.0,,40.5,21.875000000000004,11.683333333333335,10.24,,12.762500000000003,15.55,13.4,15.816666666666668,,33.775,25.35,7.8500000000000005,57.85000000000001,11.666666666666666,32.862500000000004,18.35,15.816666666666668,20.3,26.1,30.25,18.6,,29.450000000000003,19.814285714285717,24.075000000000003,15.792857142857143,9.826923076923077,21.366666666666664,12.87857142857143,12.95,13.05,11.450000000000001,43.55,,20.425,12.275,11.575,12.606250000000001,10.05,12.787499999999996,8.483333333333334,20.55,12.5,19.616666666666667,42.800000000000004,40.06666666666666,21.816666666666666,21.375,10.700000000000001,9.4,12.933333333333332,11.916666666666666,16.583333333333332,19.125,57.150000000000006,,37.800000000000004,23.900000000000002,13.450000000000001,12.05,22.950000000000003,13.123076923076924,15.008333333333335,15.710000000000003,20.1,11.4,15.833333333333334,24.400000000000002,,46.725,20.675,31.850000000000005,23.864285714285717,9.431250000000002,10.661111111111111,14.2375,13.174999999999999,34.95,,58.800000000000004,64.35000000000001,34.31666666666667,26.1,12.287500000000001,30.0875,12.887500000000001,14.383333333333333,15.200000000000003,13.400000000000002,19.200000000000003,12.05,42.650000000000006,84.60000000000001,,29.01666666666667,28.275,9.175,12.493750000000002,14.562500000000002,21.650000000000002,17.85,17.76,12.200000000000001,,,,14.1,8.55,26.16666666666667,27.650000000000002,10.700000000000001,11.360000000000001,10.200000000000001,,14.975000000000001,,,47.7,15.25,22.8125,10.028571428571428,18.17,16.754166666666666,18.370000000000005,13.575000000000001,,24.85,,33.75,23.675,12.700000000000001,13.425,11.758333333333335,20.441666666666666,13.850000000000003,12.862499999999999,,,,33.050000000000004,,9.35,22.26875,10.9,19.6,15.158333333333333,16.883333333333333,13.971428571428572,,15.75,,,,,24.1,25.45,12.495454545454548,11.881818181818183,10.74,20.583333333333332,18.687500000000004,,37.375,,14.850000000000001,,31.075,14.605555555555558,17.910000000000004,12.3375,18.025000000000002,14.3,19.5,15.775,,,,,10.919999999999998,17.77857142857143,16.19,14.276923076923076,20.433333333333337,22.950000000000003,,33.65,,,8.9,
"(23, -77)",,,25.762500000000003,11.55,44.5,16.28,9.616666666666667,,,30.475,,35.800000000000004,,22.925,17.95,24.5,9.450000000000001,28.925000000000004,8.850000000000001,15.65,65.9,,,,,25.675,14.000000000000002,20.8,27.450000000000003,37.083333333333336,14.0125,,46.28333333333333,31.475,,18.05,,,,,33.71666666666667,,14.3,21.450000000000003,,25.85,23.96666666666667,13.05,,28.950000000000003,12.700000000000001,11.725000000000001,28.0,17.55,14.366666666666669,36.2,,,21.683333333333334,14.600000000000001,,19.830000000000002,8.175,62.5,12.55,16.75,16.25,41.0,46.150000000000006,47.43333333333334,28.8,,40.75,30.0,,60.75,46.35,,20.6,15.916666666666666,,,18.42,25.6125,36.800000000000004,,12.85,,50.0,,39.900000000000006,17.55,13.925,36.6,,24.200000000000003,24.387500000000003,51.325,10.15,,53.7,15.875,17.625,,,27.533333333333335,,31.15,,11.4,12.100000000000001,9.25,,22.400000000000002,22.900000000000002,,,,16.61666666666667,20.04,12.600000000000001,,10.425,26.9,25.55,11.200000000000001,8.200000000000001,12.950000000000001,58.25,24.36666666666667,12.5,,5.95,,46.7,20.833333333333332,9.733333333333334,13.975000000000001,,,28.700000000000003,55.400000000000006,,39.400000000000006,7.550000000000001,8.85,28.55,14.566666666666668,21.400000000000002,11.200000000000001,,40.050000000000004,21.0,19.212500000000002,37.25,32.44,10.000000000000002,50.2,9.65,13.1625,18.241666666666664,8.4,60.63333333333333,,,,31.950000000000003,53.45,50.5,8.4,9.875,22.825,35.7,27.61666666666667,45.900000000000006,,24.883333333333336,15.75,18.175,10.716666666666667,21.387500000000003,45.5,31.3,10.25,29.475,23.970000000000002,,,27.425,,11.8,7.4,26.875000000000004,,39.150000000000006,12.325000000000001,10.450000000000001,,22.775000000000002,,48.62500000000001,28.125,
"(23, -76)",,56.150000000000006,28.575000000000003,36.9,19.1,18.883333333333333,36.1,20.150000000000002,13.25,12.350000000000001,14.875,,19.225,32.2,,34.050000000000004,8.78,,17.75,46.5,,,,,17.650000000000002,29.050000000000004,35.550000000000004,22.759999999999998,7.662500000000001,31.875,,,10.3,,,30.650000000000002,,16.8,18.85,8.0,11.125,9.912500000000001,,20.875000000000004,,21.200000000000003,29.450000000000003,24.1,27.35,15.075,,,,32.95,30.0,,,,,24.8,36.28333333333334,42.400000000000006,18.0,43.70000000000001,15.95,34.425,33.35,,33.21666666666667,,14.8,18.0,42.7,24.0,16.0,14.358333333333334,7.4,,25.809999999999995,25.55,,,,22.75,,,13.4,17.425,7.7,11.0,18.900000000000002,14.450000000000001,,,,,12.625,,30.725,8.966666666666667,,8.950000000000001,,30.775000000000002,,,18.7,,,,,14.657142857142858,26.425000000000004,,,15.55,15.783333333333333,,10.450000000000001,37.25,49.400000000000006,38.3,,24.100000000000005,9.200000000000001,17.8,12.75,35.85,,20.5,10.4,24.6,,16.25,12.333333333333334,7.775,17.725,6.65,10.150000000000002,11.725000000000001,,13.350000000000001,21.57,24.25,,6.6000000000000005,10.785714285714288,19.149999999999995,,28.35,36.4,,,25.6,29.950000000000003,,,,20.3125,16.279999999999998,13.950000000000001,,,31.3,,,,33.050000000000004,11.9,11.516666666666667,11.9,13.825,16.150000000000002,,51.45,40.900000000000006,43.25,71.05,53.375,,6.4,,20.725,12.15,14.225000000000001,,9.65,,15.850000000000001,9.775,13.100000000000001,,,12.5625,10.214285714285714,10.800000000000002,,,,,62.85000000000001,,
"(23, -75)",,18.616666666666667,16.95,,,16.01,,,13.525,23.0,,,12.5,11.350000000000001,29.200000000000003,11.025000000000002,14.633333333333333,20.05,,,18.575,12.850000000000001,,,17.0,13.279999999999998,,,9.100000000000001,13.850000000000001,8.55,16.45,18.200000000000003,17.05,,17.083333333333332,21.900000000000002,16.55,15.158333333333337,,13.966666666666667,12.15,,,22.25,50.300000000000004,16.55,16.083333333333332,15.170000000000002,13.635714285714286,16.075000000000003,,14.166666666666666,20.633333333333336,23.5,,10.8,,,18.0,11.149999999999999,32.050000000000004,14.8625,,17.200000000000003,7.1000000000000005,,,21.1,,,16.880000000000003,18.783333333333335,27.075000000000003,13.325,8.15,18.140000000000004,,,,,38.45,,21.38571428571429,23.150000000000002,20.21666666666667,17.375,19.025,15.075,,,7.45,20.5,,,19.258333333333333,20.580000000000002,26.470000000000006,,14.4,20.8,,,22.200000000000003,,,,17.05,12.65,16.46666666666667,,20.833333333333336,,,,27.775000000000002,,29.3,22.075000000000003,14.975000000000001,16.05,14.16666666666667,7.25,11.75,17.5,,,13.65,,,13.899999999999999,12.066666666666668,17.65,23.47142857142857,,16.950000000000003,,,21.5,6.7,,,24.087500000000002,15.0875,20.0,16.67,19.35,19.650000000000002,,,,11.350000000000001,,,12.133333333333333,12.25,21.283333333333335,,20.55,27.0,,,,7.9,,26.8,19.212500000000002,11.88125,15.15,,9.216666666666667,,,22.650000000000002,,,,,17.52,11.350000000000001,13.025,14.075000000000001,19.9375,33.525000000000006,,,17.225,,,14.183333333333332,13.093750000000002,21.0625,17.200000000000003,19.25,15.862500000000002,9.35,,,16.283333333333335,,,19.770000000000003,26.975
"(23, -74)",,10.05,9.1,,,7.4,8.1,,,8.15,,20.400000000000002,23.150000000000002,,,,,7.8500000000000005,17.8,7.9,8.700000000000001,,,,7.550000000000001,10.175,25.675000000000004,,,8.3,12.25,,7.7,,,20.6,,,20.883333333333333,,,12.5,13.700000000000001,13.125,,,,,,8.450000000000001,23.400000000000002,,25.6,,,,6.5,,,,,,,,21.05,,,,,,,,,14.700000000000001,,,,,,12.366666666666667,,,,,8.8,10.850000000000001,,,,,,,,,,,,,15.15,10.9,17.0,14.425000000000002,8.9,,,,,,,10.25,,,8.85,,,9.625,,,10.9,,,,,,,16.3,,,,,,,24.700000000000003,,,,,26.275,6.725,,,,,,,,,,,,,,,,,,,,11.15,,,,,,,11.25,,,,,9.3,12.100000000000001,14.950000000000001,,11.350000000000001,,,,,,9.0,7.95,13.25,,,13.950000000000001,,,,,,20.75,18.450000000000003,,12.500000000000002,9.15,15.65,14.25,,,,,34.05
